stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,29.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.09,0,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.26,0,0,0,0,0,0,0,0,7.02,0,0,0,0
 14-21,0,1.23,0,2.5,0,0,4.88,0,0,0,7.53,0,2.1,0,0,0,0,0,0,1.96,0,0,1.37,312.93,1.79,5.27,0,0,0.97,4.71,11.83,0,86.71,0,0,0,0
 24-34,0,1.68,0,0.64,0.62,0,16.64,3.79,0,0,7.99,0,2.16,0,0,0,0,3.08,0,4.7,0,0,6.5,1024.48,0,17.81,6.79,0.83,0,1.3,13.7,8.3,208.14,0,0,10.09,0.69
 36-46,0,1.35,0,5.81,0,0,18.08,13.31,0,0.96,69.81,0,0,0,0,0,0,0,0,4.79,0,0,10.08,1393.3,0,17.55,5.76,12.7,0,2.13,18.93,0.91,322.41,0,0,0.57,0
 48-58,0,0,0,1.23,1.42,0,83.14,25.01,2.05,0,142.48,0,0,9.96,6.84,0,0,0,2.96,5.53,0,0,5.34,1409.08,0,7.93,15.45,5.41,0,0,26.92,0,324.09,0,0,0.4,0.5
 60-70,0,0,0,5.42,0,0,122.87,25.44,0,0,205.38,0,0,0,0,6.19,0,0,3.48,15,0,0,3.63,1699.46,0,7.41,1.88,4.96,0,7.98,12.14,0,272.44,0,0,0,0
 72-82,0,0,0.75,7.21,0,0,200.45,13.49,3.73,0,213.19,0,0,0,0,0,1.54,0,0,17.98,0,0,5.18,1319.26,0.56,12.09,17.31,0.54,0,0,5.26,0,155.22,0,1.83,1.72,4.19
 84-94,0,0,0,2.99,2.17,1.48,121.72,21.26,0,0,196.21,5.22,1.45,0,0.95,4.06,0,0,0,8.4,0.65,0.72,8.08,950.42,0,11.05,18.05,1.97,0,0.88,14.13,0,106.11,0,0,3.79,0
 96-106,0,2.08,0,10.84,10.59,0,75.55,30.63,0,1.86,204.68,2.24,0,0,1.42,0,0.9,0,0,7.22,6.12,0,25.38,742.62,0,8.24,10.52,6.45,0,0,8.11,0,34.83,0,0,0,8.09
108-118,0,0,0,5.87,0.46,3.86,115.75,32.12,1.08,0,162.71,0.77,0,0,0,0,8.8,0,0,25.41,3.15,0,14.5,969.13,0,4.89,7.5,4.29,0,1.22,13.34,0,32.75,5.55,0.5,0.83,0
120,0,0,0,3.24,0,0,80.97,35.15,1.42,0,166,0,1.85,0,1.89,0,4.45,0,0,30.82,0,0,4.46,1407.91,0,23.22,13.74,0,0,0,0,0,75.28,0,0,0,0
