stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste
  3-4,13.35,396.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.69,0,0,0,0,0
  5-6,12.98,157.45,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,10.44,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,34.19,0,17.4,18.88,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.37,0,23.55,4.8,0,0,5.96,0,0
 14-21,0,0,0,22.86,1.39,1.24,0,0.96,0,0,0,13.7,2.24,0,0,0,2.09,0,0,0,19.94,0,1.96,19.55,2.07,24.36,0,12.8,0
 24-34,0,0,0,14.56,0.85,0,0,0,0,0,2.19,7.26,0,0.88,0,0,4.81,1.46,0,0,18.04,0,0,0.85,0,22.51,0,2.77,0
 36-46,0,0,0,1.58,0,0,0,0.69,0,0,2.16,2.74,0,0,0,0,7.58,0.58,0,1.11,9.8,0,0,0,0,11.43,0,0.97,0
 48-58,0,0,0,0.55,0,0,0,0,0,0,0,3.03,0,0,0,0.49,13.26,2.01,0,2.16,13.33,0,0,0,0,5.86,0,2.33,0
 60-70,0,0,0,0,0,0,0,0.65,0,0.63,0,16.63,0,0,0,0,4.36,4.39,0,0,3.5,0,0,0,0,0.83,0,0,0
 72-82,0,0,0.56,0,0,0,1.78,1.35,1.14,0,0,14.11,0,0,0,0,9.42,2.08,0,0,10.28,0,0,0.64,0,3.2,0,2.18,0
 84-94,0,0,0.66,0,0.89,0,10.48,11.86,0,0,2.96,37.49,0,0,0,0,16.6,3.86,0,0,17.26,0,0,1.49,0,15.93,0,0,0
 96-106,0,0,1.23,0,3.41,0,0,6.38,0,1.05,0,35.69,0,0,0,0,19.77,10.68,0,0,11.01,0,0,0.65,0,10.72,0,0,0
108-118,0,0,4.5,0,1.68,0,8.99,9.28,0,0,3.91,31.44,0,0,0.43,0,22.33,1.12,0,0,25.66,0,0,0,0,6.09,0,0,0.54
120,0,0,2.52,0,0,0,1.61,0,0,0,0,26.42,0,0,1.01,0,2.38,0,2.47,0,19.14,4.62,0,1.27,0,5.19,0,0,0
