stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,629.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.94,625.49,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,8.83,0,0,0,0,0,0,0,0,0
  7-9,0,18.51,20.55,0,0,48.8,0,0,0,9.16,0,0,0,0,0,0,0,297.72,6.21,0,0,96.79,3.63,0,0,0,0,0,0,0,0
 10-12,0,0,14.17,0,0,5.53,0,0,0,3.85,0,0,0,0,0,0,0,312.4,0,0,0,73.24,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.31,1.8,11.58,0,1.24,2.18,0,0,0,0,4.71,0,0,2.55,73.16,0,0,0,3.53,0,9.26,0.82,2.32,6.39,25.45,0,0,0
 24-34,0,0,0,2.3,0,4.58,0,2.44,1.92,0,0,0,0.65,6.7,0,0,0.78,88.05,0,1.76,0.64,0,2.02,0,0,0,0,9.59,0,0,0
 36-46,0,0,0,10.87,0,6.24,0,3.72,0,0,0,0,0.61,10.36,0,0.98,2.78,75.89,0,0,2.54,0,0,0,0,0,0,23.53,0,2.21,0
 48-58,0,0,0,4.29,0,28.48,0,6.07,0,0,0.89,0,0,9.45,0.41,0.66,1.51,79.16,0,0,0,0,0.38,0,0,0,0,14.26,0,0,0
 60-70,0,0,0,4.99,0.71,33.16,0,5.07,0,0,0,0,0,21.18,0,0,0.6,48.78,0,0,1.03,0,0,0,1.35,0,0,8.3,0.8,2.85,0
 72-82,0,0,0,0.82,0,14.22,0,9.67,0,0,1.23,0,0,17.43,0,0,1.8,46.65,0,0,0,0,0,0,0,0,0,3.64,0.52,0,1.28
 84-94,0,0,0,0.78,0,12.96,0.91,3.33,0,0,0,0,0,4.29,0,0,1.02,11.11,0,0,0,0,2.11,0,0,0,0,8.79,0,4.42,0
 96-106,0,0,0,1.5,0,8.42,1.12,1.45,0,0,0,0.56,0,9,0.67,0,6.59,14.63,0,0,0,0,5.65,0,0.58,0,0,0,0,1.88,1.17
108-118,0,0,0,0.6,0,6.45,0.84,3.1,0.69,0,0,0.55,0,1.92,0,0,0.6,23.59,0,1.6,0,0,0,0,0,0,0,1.12,0,2.35,0
120,0,0,0,1.32,0,14.21,0,6.42,0,0,0,0,0,4.56,0,0,0,8.09,0,0,0,0,0,0,0,0,0,0,0,0,0
