stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste
  3-4,0,21.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.57,22.89,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0
  7-9,0,0,0,0,0,0,0,7.43,0,0,59.05,3.65,0,0,6.57,0,0,0,0
 10-12,0,10.99,0,0,0,0,0,0,0,0,7.06,0,0,0,4.63,0,0,0,0
 14-21,0,0,1.66,0,0,0,0,0,0,2.91,1.05,0,0,0,0,0,0.9,1.04,0
 24-34,0,0,0.69,0,0,0,0,0,0,0,2.95,0,0,0,0,0,0,1.11,0
 36-46,0,0,0,1.18,0,0,0,0,1.3,0,4.48,1.14,2.13,0,0,0,1.53,1.69,0
 48-58,0,0,0,0,0,0.47,0.45,0,1.62,1.31,13.07,0,0,0.4,0,0,0,2.09,0
 60-70,0,0,0,3.49,0,0,0,0,0.75,0,2.8,0,0,1.16,0,0,0,8.66,0
 72-82,0,0,0,1.48,1.19,0,0,0,0,0,7.23,0,0,0,0,1.57,0,1.03,0
 84-94,0,0,0,2.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,3.35,4.3,0,0,1.65,0,1.08,0,0,0,3.63,0,0,0,0,0,0.42
120,0,0,4.71,2.72,0,0,0,0,0,0,13.16,0,0,0,0,0,0,4.36,0
