stage,epidermis,eye,fast_muscle,glial,immune,mesenchyme,muscle,neural,olfactory,otic,spinal_cord,vasculature,xanthophores
  7-9,0,5.16,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.87,0,0,1.86,3.01,0
 24-34,0.65,0,0,0,0,1.77,0,4.39,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,14.19,0,0,0,0,0
 48-58,0,0.42,0,1.26,0.39,0,0,4.34,0,0,0,0,0
 60-70,0,1.52,0,0,0,0.64,0,10.93,0,0,2.63,0,0
 72-82,0,2.25,6.88,0,0,1.85,1.66,2.35,1.21,0,0,0,0
 84-94,0.64,1.25,0,0,0,0.94,0,3.93,0,0,0,0,1.11
 96-106,0,0,0,2.47,0,2.62,0,0.56,0,1.35,0,0,0
108-118,0,2.69,0.44,0,0,0,0,21.03,0,0,0,0,0
