stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle
  3-4,31.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,64.89,0,0,0,5.5,0,0,0,0,0,0,0,0
 10-12,0,0,5.91,0,0,14.94,0,0,0,0,0,0,0,0,0,154.05,0,0,0,0,0,0,9.68,0,0,0,0,0
 14-21,0,0,0,0,0,0,22.08,0,0,0,0,0,0,0,0,9.2,0,0,0,0,4.06,0,6.87,0,0.96,11.69,0,0
 24-34,0,0,0,0.89,0,0,13.53,0,0,0,0,0,2.44,0.76,0,25.68,0,1.06,0.89,0,62.21,0,9.21,0,0.64,37.56,0,0
 36-46,0,0,0,0,0.57,1.6,27.93,0,1.3,0,0,10.62,0.94,0,0,55.52,0,0.93,0,0,137.29,0,1.28,0,0,50.48,0,0
 48-58,0,0,0,0,0,2.7,21.88,0,0,0.61,0.4,0,1.79,1.91,0,31.54,0,1.44,0,0,54.94,0,3.46,0,0,29.9,0,0
 60-70,0,0,0,0,0,2.41,7.79,0,0,0,0.64,0,1.74,0,0,6.9,0,0,0.81,0,10.55,0,0,0.71,0,9.28,0,0
 72-82,0,0.49,0,0,0,6.87,10.32,0,0,0,0.79,0,0.64,0,0.53,10.88,0,2.27,0.79,0,3.38,0,0.57,0,0,7.5,0,0
 84-94,0,0,1.01,0,0,2.31,8.94,0,0,0,1.91,0,1.22,0,0,0,0,6.14,0,0,3.17,1.4,4.49,0,0,1.5,0,0.69
 96-106,0,0,0,0,0,0.84,11.44,0,0,0,3.44,0,4.09,0,1.02,14.62,0.62,3.8,3.95,0,3.79,0,0.6,0,0,9.29,1.23,0
108-118,0,0,0,0,0,3.56,12.95,0,0,0,0,0.87,0,0,0,7.07,0,2.63,3.55,0,0,0,1.06,0,0,7.16,0,0
120,0,0,0,0,0,1.79,0,1.94,0,0,0,0,0,0,0,17.12,0,0,0,0,0,0,13.62,0,0,11.74,0,0
