stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0
  7-9,5.41,0,6.85,0,0,32.42,0,0,0,0,0,804.06,0,0,0,0,0,0,0,0,0,0,0,79.22,11.93,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.75,20.94,24.85,0,0,129.9,0,0,0,0,0,1721.89,0,0,0,0,0,0,0,0,0,0,0,764.8,18.89,0,0,141.34,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.72,456.78,10.73,22.2,0,29.61,0,0,9.73,149.68,0,3.29,1.99,0,0,0,0,13.69,0,0,7.9,424.42,1.43,18.99,0,8.78,0,0.83,3.35,0,5.52,112.19,0,0,0,0,0
 24-34,0,0,6.46,189.52,0.6,3.25,0,63.37,5.16,2.8,1.08,0,0,18.47,1.27,0,0.63,0,0,59.2,0,0,3.03,294.32,0,10.03,2.11,0,0,6.64,0,0,0,148.47,0,0,7.09,0,0
 36-46,0,0,0,91.81,0,12.04,0,50.9,8.06,9.25,2.43,0,0,43.02,0,1.69,5.95,0,0,135.96,0,13.21,14.5,266.56,0,3.22,0,0,0,3.03,0,1.81,0,59.67,0,1.37,8.41,0,0
 48-58,0,0,1.12,203.78,0,27.63,2.05,53.49,25.37,11.54,0.98,0,0,76.41,0.97,9.46,4.24,0,0,455.29,2.48,71.56,35.99,262.11,0,1.68,2.83,0,1.58,1.81,0,0,0,58.45,0,1.96,11.52,7.46,0
 60-70,0,0,0,208.15,0,11.56,0,138.61,24.31,25.68,0.77,0,0,82.69,2.65,0,0,3.81,0,813.2,5.18,146.84,55.13,518.8,0,3.06,12.26,0,1.47,2.99,0,0,0,20.36,6.44,120.7,5.99,39.51,0
 72-82,0,0,0,178,0,94.16,0,90.99,44.67,45.32,6.09,0.51,0,114.87,4.59,3.2,28.45,0,0,1213.67,0.92,84.83,52.97,593.25,0,0.75,9.69,0,1.36,1.16,0,0,0,19.47,16.74,298.85,22.28,54.53,0
 84-94,0,0,0,213.37,2.63,173.27,1.12,127.83,14.7,59.51,1.59,1.2,0,190.86,3,2.1,9.29,0,36.45,1078.04,0,137.02,12.42,328.75,0,1.93,0,0,5.57,1.37,0,0.7,0,37.4,71.87,361.18,22.04,44.75,5.56
 96-106,0,0,0,267.88,7.12,138.25,0,193.69,28.18,78.14,10.05,0,2.44,131.41,2.79,3.79,32.33,1.77,28.18,918.63,1.52,30.57,16.28,439.99,0,3.3,21.21,0,0,12.4,0,2.03,0,40.26,130.49,360.14,35.61,56.69,4.64
108-118,3.03,0,0,187.08,7.48,82.01,0.65,220.02,21.42,140.2,15.65,0,0,114.93,8.33,6.11,46.79,0,0,1092.42,0,67.13,10.72,505.35,0,3.4,6.96,0,16.47,6.55,0,3.77,0,11.58,165.91,381.19,41.28,84.28,0
120,0,0,0,229.3,2.53,82.29,0,225.94,23.09,153.38,9.91,0,0,68.17,14.41,8.1,16.36,0,0,1213.34,4.63,60.46,21.45,782.14,0,1.46,15.86,0,12.59,4.59,0,0,0,16.32,134.61,210.37,41.82,86.31,0
