stage,epidermis,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,47.19,0,0,0,0,0,0,0,0,0,1.22,0,23.12,0,0,0,0,1.67,9.01,2.57,0,0,0,0
 24-34,47.56,0,1.43,0,0.64,0,1.01,0,0,0,1.41,0.67,55.94,0,0,14.89,3.83,5.26,0.75,48.09,0,0,0,0
 36-46,16.51,0,7.04,0,0,0.94,0,0,0,0,5.83,0,82.16,0,1.82,3.25,0,3.23,0,5.22,0,0,1.02,0
 48-58,0.8,0,2.51,0,0,0,0,0,0,0,8.77,0,35.15,0,0,0,0,3.27,0,4,0,0,0,0
 60-70,0,0,10.52,0,0,0,0,0,0,0,7.82,0,47.92,0,0,0.74,0,6.78,0,3.97,0,0,0,0
 72-82,0,0,35.06,0,3.41,0.54,0,0,0,0,12.87,1.29,53.98,0,0,0,0,1.81,0,1.39,0.74,1.44,0,1.15
 84-94,0,0,45.27,0,0,1.69,0,0,0,1.01,13.48,0,40.96,0,0,0,0,1.4,0,7.31,1.14,0.58,0,0
 96-106,5.66,0,92.19,0.59,0.85,1.53,0,0,2.22,0,25.6,1.04,34.87,0.68,0,0.76,0,2.77,0,8.23,1.91,0,0,0
108-118,0,0.76,64.45,0.78,0,2.33,0.62,2.22,8.09,0,6.85,0,50.74,0,0,0,0,4.12,0,0,4.04,0,0,0.72
120,2.44,0,64.24,0,0,5.55,0,0,5.99,0,51.12,2.11,89.12,0,0,0,0,0,0,0,0,3.12,0,0
