stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,1.36,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,2.9,3.56,0,0,0,0,0,4.35,0,0,1.98,0
 24-34,0,2.09,0,0,0,0,0,1.25,0,1.1,0,0,0,77.09,0,0,40.75,9.76,0,0,0,5.7,0.88,1.17,4.64,0,49.91,0
 36-46,0,4.5,0,0,0,0,0,5.3,3.24,0,0,0,0,454.73,0,0,39.19,25.62,0,0,0,0.63,0,0,2.5,0,26.5,0
 48-58,0,0,8.39,0,0,1.12,0,1.21,0,0,0,0,0,524.73,0,0.54,36.32,8.25,0.66,0,0,1.29,0,0,3.32,0,33.33,0
 60-70,0,0,10.06,0,1.53,5.28,0,0,0,0.86,0.71,0,7.55,769.18,5.52,0,85.31,13.6,0,0,0,0,0,0,1.73,0,25.25,0
 72-82,4.99,6.21,28.85,0,1.46,1.44,1.1,4.72,0,0,0,0,0,1228.54,0,0,94.63,36.6,0,0,1.77,0,0,0,0.66,3.55,25.05,0
 84-94,0,0,40.12,0,3.12,1.42,0,0,0,2.15,0,0,0,1001.74,0,1.32,85.24,29.42,0,3.83,0,0.75,0,0,0,0,22.97,2.23
 96-106,1.6,5.94,41.5,0,0,0,0,0.99,0.64,6.45,0,0.95,0,1244.22,0,2.67,91.54,34.59,0,0,0,1.79,0,0,3.05,0,28.45,2.37
108-118,7.38,0.89,11.1,0,9.28,0,0,0.56,1.09,3.97,0,0,0,1532.06,0,1.35,64.06,55.1,0,0,3.27,0,0,0,0,0,8.18,0.49
120,0,1.12,36.22,2.34,0,0,1.88,0,1,1.29,0,0,0,1119.86,0,0,85.49,69.79,1.25,0,0,0,0,0,0,0,47.8,0
