stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.93,5.36,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.68,8.09,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0
 24-34,0,0,0,0,0.76,0.61,0,0,0,0,0,2.33,0,8.09,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.62,0,26.23,0,0,0
 48-58,0,0,3.86,0,0,0,0,1.14,0,0,0,9.1,0,8.2,1.96,0,0.8
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,1.68,0,19.23,1.02,0,0
 72-82,0,0.54,5.01,0,0,0,0,1.8,0,0,0,14.23,0,38.68,1.41,0,0
 84-94,0,5.48,8.38,0,0,0,0,0.61,0,0,0,7.95,0,102.02,0,0,0
 96-106,0,0.62,6.5,0,0,0.67,0,4.64,0.71,0,2.8,20.29,0,94.94,1.09,0,0.8
108-118,0,1.17,0,2.31,4.15,0,0.42,0.99,0,0.72,0,6.9,0,111.9,0,1.29,0
120,0,1.88,1.08,0,11.2,0,2.51,0,0,0,0,0,0,74.14,0,0,0
