stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,1037.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.21,0,0,0,0,0,0,0,0,0,0
  5-6,41.99,364.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.24,20.34,0,22.78,0,0,26.32,0,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,337.91,12.85,0,0,116.85,0,0,3.47,0,0,0,0,0,0,0,0,0
 10-12,0,6.35,0,19.61,0,0,33.62,0,0,0,0,0,10.73,0,0,0,0,0,0,0,0,0,0,413.14,7.15,0,0,170.62,0,0,4.37,4.75,12.29,0,5.09,0,0,0,0,0
 14-21,0,0,0,0,11.74,0,2.63,0,0,0,4.96,1,0,0,0,0,0,0,0,0,4.99,0,6.8,60.08,0,0,0,0,0,0,0,15.43,0,9.52,19.19,0,0,0,0,0
 24-34,0,0,0,0,2.31,0,6.45,0,0,1.77,2.38,0.69,0,1.47,0,0,0,0,0,0.86,7.65,0,5.04,98.8,0,0,2,0,0,0,0,0,1.52,0.75,52.46,0,0,0.76,0,0
 36-46,0,0,0,0,3.3,1.39,25.71,0,0,1.61,17.66,0,0,0,0,0.62,0,0,0,0,7.95,0,3.5,81.16,0,0,1.4,0,0,0.68,0,0,2.85,0,17.48,0,0,1.39,0,0
 48-58,0,0,0,0,3.38,0.6,11.16,0,5.49,1.27,2.91,0,0,0,0,0,0,0,0,0,5.29,0,0.65,28.75,0,0,0.43,0,0,0,0,0,0,0,13.65,0,0,0,0,1.32
 60-70,0,0,0,0,1.85,2.01,30.55,0,1.95,0.81,7.92,3.12,0,0,0,0,0,0,0,0,15.02,0.64,1.46,15.98,0,0,2.02,0,0,1.13,0,0,0,0,10.31,0,0,0,0,0
 72-82,0,0,1.45,0,0.71,7.71,9.19,0,0.8,0,27.09,0,0,0.53,1.3,0,2.95,0.61,0,2.16,24.21,0,0,28.64,0,1.74,2.99,0,0,0,0,0,0.65,0,9.4,0.92,0.99,4.22,0,0
 84-94,0,0,0,0,19.61,7.5,4.46,1.17,2.27,2.65,16.72,0,0,0,0,0,0,0.8,0,2.28,24.15,0.98,0,26.13,0,0,1.81,0,0,6.61,0,0,0,0,12.35,0,2.06,0,3.25,2.62
 96-106,0,0,0,0,3.55,10.66,10.38,0,0,0,13.33,0.89,0,0,0,0,1.49,0,0.95,0,20.42,0,0,14.84,0,2.09,1,0,0,2.64,0,0,0,0,11.16,1.59,0,1.15,0,13.06
108-118,0,0,0,0,1.27,15.21,14.63,0,1.3,1.51,19.92,0,0,0,1.18,0,0.49,1.84,1.63,0,22.61,2.41,6.35,39.46,0,0.6,0.57,0,4.9,8.21,0,0,0,0,3.77,0,2.09,2.78,0.5,6.52
120,0,0,0,0,4.63,6.26,6.28,0,1.45,13.32,48.72,1.31,0,0,0,0,1.62,0,10.37,0,56.21,7.65,4.89,17.18,0,1.11,1.66,0,0,1.83,0,0,0,0,0,0,0,0,0,0
