stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.37,0,0,0,0,0,0,0,0,0,0
  5-6,37.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.97,0,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,11.96,0,1.05,0,0,0,17.56,0,0,0,0,0,0,0,0,0,0,1.28,589.68,1,5.96,0.81,0,0,0.87,1.02,0,0,6.64,285.01,0,0,0,0,0
 24-34,0,7.5,0,22.09,0,0,0,121.36,0,0,0,0,0,0,0.69,0,5.72,0,0.82,2704.46,0,10.49,0,0,0,6.15,0,0,0,2.78,724.15,0,0,0,0,0
 36-46,0,23.54,0,40.61,0,0,0,434.51,0,0,0,0,0,0,2.76,8.22,2.36,0,1.78,3184.71,0,3.04,1.63,0,0,3.66,0,0,0,0,1039.12,0,0,7.98,0,9.69
 48-58,0,3.42,0,171.85,0.57,0,0.44,1054.11,0,0,0,0,2.08,1.23,0,0,17.01,0.95,2.25,2046.01,0.41,0.88,0.98,0,0.47,3.64,0,0,0,0,1261.07,0,0,0,0,0
 60-70,0,3.17,0,46.81,0,0.59,0,876.72,0,0,1.2,0,0,0,0,0,1.27,2.07,0,474.72,0,0,0.57,0,0,0,0,0,3.07,0,294.44,0,0,0,0,1.82
 72-82,0,13.15,0.51,99.39,0,0,0,1482.67,0,1.5,4.13,0,5.43,3.49,0,0,18.02,7.99,1.5,356.66,0,5.3,12.41,0,0,0,0,0,0,0,107.72,2.25,0,0,0,0
 84-94,0,2.61,0,50.23,0,0,0,731.82,0,0,0,0,0,3.32,0,1.13,4.03,8.97,0,254.56,0,0.71,0,0,0,0.57,0,0,0,0,103.35,0.85,1.26,5.09,0.63,0
 96-106,0,5.37,3.64,51.28,0,0,0.57,585.09,1.06,0,0,0,0,0,0,0,10.79,10.2,2.4,188.34,0,2.76,0.57,0,0,0,0,0,0,0,56.04,1.02,0,2.85,0,0
108-118,0,7.99,0,23.28,0,0,0,748.67,0,0,0,0,0,0.52,0,0,4.8,14.65,1.88,309.09,0,3.1,1.93,0,0,3.75,0,0,0,0,15.62,0,0,0,0,0
120,0,8.54,0,52.69,0,0,0,596.95,0,0,2.35,30.49,0,0,0,0,4.72,0,1.43,227.05,0,0,0,0,0,0,0,9.54,0,0,7.75,0,0,0,0,0
