stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,111.65,1938.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.45,0,0,0,0,0,0,0,0
  5-6,112.16,1844.84,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.41,0,0,0,8.27,0,35.56,0,0,0,0,0,0,0,0
  7-9,13.97,67.81,0,43.26,0,0,0,78.11,0,0,0,0,16.93,0,0,0,0,0,0,0,0,0,728.55,20.11,0,0,196.83,0,8.13,10.61,0,0,0,0,0,0,0
 10-12,9.78,17.95,0,16.16,0,6.13,0,25.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.93,14.79,0,0,176.06,0,0,0,0,12.74,0,0,0,0,0
 14-21,0,0,0,0,4.57,0,0,1.21,0,0,1.09,0,0,0,0,0,0,0,3.21,0,0,0,19.58,2.01,6.42,0,0,0,0,0,4.68,0,0,7.37,0,0,0
 24-34,0,0,0.62,0,1.36,0,0,7.7,0.75,0,0,0,0,0,0,0,0.86,0,10.62,0,0,0.99,33.77,0,0.78,1.32,0,0,2.69,0,0,0,0.64,18.33,0,0,0
 36-46,0,0,0,0,0.65,0,0,17.65,0,0.6,0,0,0,0,0,0,0,0,10.75,0,0,0.65,80.47,0,1.56,0,0,0,4.13,0,0,0,0,12.14,0,0,4.17
 48-58,0,0,0,0,4.35,0,0,18.67,0,0.83,4.53,0,1.7,0,0,0,0,0,12.48,0,0,0.39,64.96,0.44,0.93,0,0,0,2.16,0,0,0,0,9.83,0,0,2.59
 60-70,0,0,0,0,0.8,0,0,28.76,0,0,5.54,0.61,0,0.78,0.67,0,0,0,12.62,0,0,1.62,91.23,0,0,0,0,0,2.9,0,0,0,0,19.47,0,0,3.71
 72-82,0,0,0,0,1.3,1.68,0,21.24,0,0,9.33,0,0,0,0,0,0,0,19.58,0,0,0.57,84.03,0,0,1.95,0,1.1,1.29,0,0,0,0,18.78,0.5,0,2.76
 84-94,0,0,0,0,0,3.06,0,12.61,0,4.47,2.44,0,0,0,1.23,0,0,0,17.9,3.57,0,0.65,20.99,0,0,4.75,0,0,8.39,0,0,0,0,2.99,0,0.69,0
 96-106,0,0,0,0,4.47,15,0,15.32,0.59,0.97,9.32,0,0,0,0,0,0,0,10.19,1.47,1.11,1.18,31.35,0,0,1.81,0,0,3.54,0,0,0,0,6.42,2.08,0,0
108-118,0,0,0,0,1.31,0,0.66,20.25,0,0,17.14,1.21,0,0,1.85,1.36,0,0.82,9.39,0,2.98,0.51,26.76,0,0.64,1.12,0,0,11.27,0,0,0.55,0,3.84,0,0,0
120,0,0,0,0,5.03,0,0,14.27,0,0,18.62,1.29,0,0,4,0,0,0,1.93,0,0,0,19.23,0,0,0,0,0,1.57,0,0,0,0,0,0,0,8.76
