stage,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,immune,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vasculature
  3-4,10.91,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0
  5-6,28.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,2.49,1.89,0,0,2.49,0,7.14,1.99,0
 24-34,0,1.47,0.82,0,0,0,0,0,0,0.66,0,0,0,0,1.36,0,0
 36-46,0,0,0,0,0,0,0,0.92,0,0,0,0,0,0.59,0,0,0.65
 48-58,0,0,0.82,0,0,0,0.37,0,1.06,6.6,0,0,0,0.38,0,0,0
 60-70,0,1.92,0,1.37,0,0,0,0,0,0,0,0,0.64,0,0,0,0
 72-82,0,0.72,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.53,0,0.81,0,0,0,0,0,0,0,0,0
 96-106,0,0.6,0,0,3.04,0,0,2.34,1.9,0.59,0,0,0,0,0,0.58,0
108-118,0,0.44,0,0,0,0,1.6,1.02,2.29,0,0,0,0,0,0,0,0
