stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,168.93,1919.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.14,2326.71,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,7.94,0,0,26.32,21.47,0,0,0,0,0,0,0,0,0,0
  7-9,6.84,31.08,0,52.38,0,0,0,74.56,0,0,0,0,49.54,0,0,0,0,0,0,0,0,979.03,51.87,0,0,325.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.08,0,39.98,0,0,0,64.74,0,0,0,0,5.16,0,0,0,0,0,0,0,0,368.52,0,0,0,222.99,0,0,0,13.88,0,6.54,0,0,0,0,0
 14-21,0,0,0,1.95,34.49,3.73,0,24.38,0,0,2.15,0,0,0,0,0,0,0,21.26,0,21.21,268.09,0.9,0,1.83,17.35,0,0.9,30.23,0,0,56.17,55.45,0,0,0,0
 24-34,0,0,0,0,3.77,0,0,14.7,0,0,0,0,0,0.67,0,0,0,0,16.8,0,2.45,94.54,0,0,0,0,0,0,0,0,0,5.46,20.58,0,0.62,0,0
 36-46,0,0,0,0,1.8,0,0,13.49,0,0,2.89,0.61,0,0,0,0,0,0,4.97,0,2.37,95.82,0,0.66,0,0,3.82,0,0,0,0,0,25.67,0,0.77,0,0
 48-58,0,0,0,0,5.73,0,0,27.2,0,0.38,13.46,0.57,0,0,0,0,0,0,12.53,0.66,4.84,78.4,0,0,0.67,0,0.72,0,0,0,0.46,0,24.34,0,1.22,0,0
 60-70,0,0,0,0,2.12,0,0,26.39,0,0,10.16,0,0,0,0,0,0.79,0,5.44,0,1.53,63.25,0,0,0.77,0,1.06,0,0,0,0,0,8.1,0,0,0,0
 72-82,0,0,0,0,3.36,0,0,31.08,0,0,11.73,0,0,0.73,0,0,0,0.96,24.39,6.94,3.52,31.91,0,0,0,0,0,0,0,0,0,0,3.73,0,0.93,0,0
 84-94,0,0,1.16,0,5.96,0,0,7.4,5.9,1.08,7.53,0.66,0,0,0.77,0,0,0,13.29,0,2.47,21.53,0,0,2.88,0,3.28,0,0,0,0,0,0,1.06,1.56,0,0
 96-106,0,0,0,0,3.61,4.32,0,4,0,0.81,4.61,0,0,0,0,0.74,2,0,11.25,0,9.1,34.8,0,0,0.87,0,6.18,0,0,0,0,0,1.73,0,0,0,2.94
108-118,0,0,0,0,7.39,1.13,3.43,18.48,0.46,0.75,14.9,0.6,0,0,1.89,1.25,0,0,25.35,0,10.83,51.14,0,0,1.79,0,0,0,0,0.59,0,0,0.87,0,0.61,1.15,0
120,0,0,0,0,7.64,0,0,9.35,2,1.56,10.64,1.4,0,0,0,0,0,0,33.51,0,3.36,57.26,0,0,0,0,0,0,0,0,0,0,7.16,0,4.72,0,0
