stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.41,11.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.71,0,0,0,3.39,0,0,0,0,0,0,18.58,0,0,0
 14-21,0,0,3.63,464.05,5.18,646.62,0,1.81,0,2.21,1.87,5.77,7.29,0,4.76,0,11.45,379.25,1445.78,0.83,0,48.85,5607.4,14.83,7.05,65.92,15.6,0,5.2,17.25,4.93,2.17,31.48,2501.68,5.12,0,13.33
 24-34,0,0,2.14,126.4,2.61,282.32,0,2.36,0,4.11,1.45,0,9.31,0,19.58,1.29,5.3,249.89,1782.48,0,0,31.18,2314.08,10.82,2.7,8.08,0,2.91,5.84,0,0,4.97,7.46,331.69,6.66,0,14.43
 36-46,3.74,0,0,6.22,0,3.4,0,0,0.79,0.79,0,0,5.52,0,0,0,0,0,230.65,0,0,6.83,660.22,0,0,1.87,0,0,0.62,0,0,0,0,10.99,0,0,0.85
 48-58,0,0,0,1.07,0,12.43,0,0,0,5.49,0,0,1.42,0.49,0,0,0,0,61.14,0,0,3.7,197.69,0,0,0,0,0,0,0,0,0,0,2.59,0,0,0
 60-70,0,0,0,0,1.04,0,0,0,2.32,0,0,0,0,0,0,0,0,0,28.15,0,0,0,38.25,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,4.3,0,0,10.82,2.49,0,0,0,0,0,0,0,0,0.56,0,0,3.83,27.17,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 84-94,0,0,0,0,5.08,0,0.75,0,0,0,0,0,0,0,0,0,0,0,6.8,0,1.98,2.56,20.13,0,0,0,0,1.53,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.86,4.67,0,0,0,0.57,0,0,0,3.04,0,0,0,4.34,0,1.63,0,3.53,0,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.18,0,1.38,0,0,0.52,0,2.38,0,0,0,0,0,0,0,0.87,0,0.46,0.73,6.52,0,0,0.43,0,0,0,0,0,0,0,0,0,6.35,0
120,0,0,0,1.4,0,0,0,0,1.6,0,0,0,0,1.25,0,0,9.76,0,0,0,0,0,18.52,0,0,1.98,0,19.53,0,0,0,0,0,0,0,0,0
