stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,0,109.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.74,222.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.4,0,0,0,0,0,8.29,0,0,0,0,39.07,0,0,0,0,0,220.26,0,0,0,24.85,3.78,0,0,0,0,0,0,0
 10-12,0,5.28,0,22.3,0,0,15.13,0,0,0,0,5.11,0,0,0,0,0,244.37,11.56,0,0,88.08,0,0,3.81,0,0,0,0,0
 14-21,0,0,0,0,3.2,2.43,1.97,0,0,0,0,0,0,0,4.48,0,4.35,13.21,0.83,0,0.85,0,0,1.68,0.86,0.8,2.77,13.58,0,0
 24-34,0,0,0,0,0.86,0,6.2,0,0.72,0,1.24,0,0,0,0.7,0,0.79,40.18,0,0.98,0,0,0,0,0,0,0.84,17.63,0,0
 36-46,0,0,0.95,0,0.61,0,5.14,0.64,0,0,0,0,0,0,2,0,0,39.02,0,0,0,0,0,0,0,0,0,5.36,0,2.03
 48-58,0,0,0,0,0,0,7.78,0,0,0.87,0,0,0.59,0,2.44,0,0,23.13,0,1.09,0,0,0,0,0.38,0,0,2.27,0,0
 60-70,0,0,0,0,0.69,0.83,16.06,0,0,0,3.92,0,0,0,0.69,0,0,25.56,0,0,0,0,0.67,0,0,0,0,1.51,0,1.69
 72-82,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,4.83,0.93,0,42.82,0,0,0,0,0,0,0,0,0,1.2,0,0
 84-94,0,0,0,0,0,0,2.25,0,0,0,1.31,0,0,0.83,0,0,0.61,12.72,0,0,0,0,0.73,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.7,0,10.97,0,0,0.96,0.97,0,0,0,5.93,0,0.78,15.04,0,0,0,0,2.73,0,0,0,0,0,0.56,3.22
108-118,0,0,0,0,0,0.61,8.41,0,0,0,1.01,0,0,0,5.38,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.09,0,13.39,0,0,0,6.14,0,0,0,0,0,0,30.12,0,0,0,0,0,0,0,0,0,0,1.37,2.73
