stage,axial,blastomeres,endoderm,eye,glial,hatching_gland,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros
  3-4,0,342.06,0,0,0,0,0,0,0,0,0,0,0
  5-6,78.16,1561.16,0,0,0,0,44.87,0,0,0,6.81,0,0
  7-9,33.82,38.6,19.89,53.82,0,30.21,916.96,29.09,0,312.53,3.29,0,0
 10-12,0,21.95,45.44,39.72,0,8.04,473.81,25.68,0,152.63,0,4.19,6.14
 24-34,0,0,0,0,1.39,0,1.27,0,0,0,0,0,0
 36-46,0,0,0,0.61,0,0,4.34,0,0,0,0,0,0
 48-58,0,0,0,1.58,1.19,0,0,0,2.77,0,0,0,0
 72-82,0,0,0,0,0,0,4.13,0,0,0,0,0,0
 96-106,0,0,0,0,1.32,0,0,0,0,0,0,0,0
108-118,0,0,0,1.47,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,7.29,0,0,0,0,0,0
