stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,97.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.98,86.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86,4.06,0,0,3.6,0,5.28,0,0,0,0,0,0,0,0
 10-12,0,9.71,0,0,0,0,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.91,22.43,0,0,7.62,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.94,1.88,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13,0,0,0,0,0,144.32,91.56,3.92,0,0,0,0.9,0,0,139.75,0,0,0,0,0
 24-34,0,0,5.76,5.55,0,0,6.22,0,0.63,0,3.53,0,0,0,0,0,0,0,0,0,2.66,0,1.66,3.93,1289.42,8.38,37.7,9.86,0,4.95,0,0,0,514.16,0,0,1.2,0,0
 36-46,0,0,3.67,3.32,0,0,74.58,1.31,0,0,2.86,0,0,0.79,0,0,0,0,0,0,0.65,1.01,0,4.81,3731.73,9.74,50.14,1.46,0,4.91,0,0,0,926.68,0,0,0,0,7.16
 48-58,0,0,0.4,22.76,1.19,0,556.1,0,3.34,0,71.85,1.51,0,1.36,0.37,0,9.29,0,0,0,15.56,0,0.76,1.65,5130.3,14.31,32.61,8.82,0,8.48,0,0,3.61,924.68,0,0,3.54,0,7.92
 60-70,0,0,1.19,20.25,0,0,1998.97,0,5.72,0,52.66,0.62,2,0,3.62,0,0.81,1.51,0,0,30.58,0,40.01,16.37,6754.83,10.63,30.34,1.55,0,10.28,0,0,2.34,1047.2,0,0,1.72,0,12.51
 72-82,0,0,3.24,23.38,4.56,0,3514.02,0.95,8.97,1.44,89.84,7.31,0,0,0,0.93,3.34,1.42,0,0,86.91,0.67,4.91,4.39,6261.2,1.08,30.87,7.55,0,3.65,0,0.73,0,648.15,6.77,0.87,8.15,0,14.56
 84-94,0,0,11.11,39.41,3.89,0,2783.88,0.68,3.17,0,111.38,4.22,0,0,1.16,0,1.66,3.82,0,2.06,46.87,0,4.82,2.38,4388.75,20.94,30.03,18.73,0,19.27,0,1.47,0.69,506.61,9.63,0,7.44,2.06,2.1
 96-106,1.12,0,5.24,25.79,43.13,0,2357.95,0,10.23,6.62,123.65,5,0,0.58,4.88,0,1.29,5.52,11.88,0,56.06,0,1.95,1.84,3462.71,1.34,26.09,10.88,0,29.27,0,1.11,0,214.55,5.62,0,2.37,1.55,22.17
108-118,0,0,2.53,60.09,14.25,1.31,1918.89,2.6,2.46,0,99.09,1.56,0,0,1.34,0,6.16,2.08,0,0,37.8,0,7.59,1.21,4075.34,17.47,19.79,18.82,0,8.73,0,0.94,0.69,210.56,4.52,0,6.04,3.42,0
120,0,0,0,70.75,23.56,0,2369.77,20.71,3.19,14.1,240.41,2.5,0,0,3.53,0,0,2.76,0,0,37.58,0,23.18,6.52,7463.41,4.18,51.56,30.81,0,6.24,0,3.69,0,299.55,11.75,0,1.1,0,0
