stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,1,0,2.21,0,0,0.97,0,0,23.77,0,1.96,1.04,0,0
 24-34,0,1.66,0,3.9,0,0.79,0,0,0,5.44,3.32,44.97,0,9.14,9.24,7.79,0
 36-46,0,1.27,0,3.28,0,0,0,0.64,2.56,0,1.36,43.26,0,0.95,9.36,0,0
 48-58,0,0,2.03,8.93,0,0,0,0,0,1.32,0.91,24.58,0.46,18.9,2.95,5.41,0
 60-70,0,0,0,15.2,3.18,0,0,0,0,1.12,0,6.63,0,13.02,0,0,0
 72-82,0,0,0,10.65,0,0,0.7,0,0,5.35,1.18,15.3,0,6.9,3.44,0,0
 84-94,0,0.89,0,4.45,0,0,0,0,0,0.63,0,11.04,0,32.3,0,0,0
 96-106,0,0.79,4.97,1.46,0,0,0,0,0,2.56,0.76,10.76,0,18.65,0,0,0
108-118,0.74,0,1.07,5.19,0.7,0.77,0,0,0,7.61,0,14.67,0,25.42,0,0,2.37
120,0,1.32,0,0,0,12.52,0,0,0,2.3,1.28,0,0,18.55,0,0,0
