stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.62,225.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.81,172.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.54,0,0,0,8.65,0,0,7.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.06,32.49,0,0,22.3,0,0,4.94,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.1,27.51,5.97,0,12.28,0,0,0,2.69,0,2.46,0,0,0,0,0,8.23,8.17,0,0,5.03,65.74,3.74,0,0.86,2.3,0,11.04,0,7.95,2.65,0,8.96,20.47,0,0,0,0,1.35
 24-34,0,0,0,17.19,0,0,13.45,0,0,1.51,1.44,3.28,2.43,0.69,0,1.56,0.65,0,11.03,28.74,0,0,7.94,40.51,2.9,0,1.06,0,0,14.45,0,0,0.94,0,0.63,10.48,0,0,11.77,0,12.38
 36-46,0,0,0,5.73,0,0,3.7,0,0.64,0,13.36,0,0.73,1.43,15.62,0.91,0,0.94,8.6,20.75,0,0,3.74,75.2,2.56,0,1.73,0,2.1,35.71,0,0,0,0,0,7.36,0,0,9.54,0,4.47
 48-58,0,0,0,3.49,0,0,3.06,0,1.74,1.29,8.93,0,0,0.96,0,0,1.33,0,8.07,29.97,0,0,4.3,38.46,6.51,0,1.67,0,0,19.58,0,0,0,0,0,3.31,0,0,0.56,0,6.19
 60-70,0,0,0,17.5,0,0,34.58,0,2.19,4.81,32.25,0,0,3.44,0.71,3.18,1.33,0,0.72,52.13,0,1.79,5.92,25.77,2.74,0,0,0,0,6.99,0,0,0,0,0,11.15,0,1.93,5.85,2.76,9.85
 72-82,0,0,0,8.02,31.2,0,33.22,0,2.57,2.67,46.44,0,2.62,1.62,0,7.97,1.59,0,4.99,79.64,0,3.27,9.88,19.76,0,1.08,1.91,0,0,8.94,0,0,0.55,0,0,14.5,0,4.82,10.75,4,27.79
 84-94,0,0,0,14.22,10.09,1.52,39.83,2.21,7.49,3.15,41.06,1.42,6.04,7.3,1.23,6.27,1.77,0,17.6,53.62,0.62,22.42,1.05,58.37,1.27,0,2.92,0,3.75,37.59,0,0,3.15,0,0,12.44,1.47,1.15,10.91,2.68,12.4
 96-106,0,0,0,19.9,46.42,0,38.01,0,3.11,2.2,39.29,7.58,0,2.51,0.87,7.04,4.84,0,1.52,64.63,0,1.7,10.65,17.51,0.66,0,4.16,0,4.36,43.45,0,0,0,0,0,0,0,3.09,7.88,2.61,22.3
108-118,0,0,0,25.79,22.64,0.82,29.05,0.89,1.61,0.93,51.56,3.65,0.51,6.24,4.1,7.26,1.49,1.35,16.47,40.29,2.74,2.56,4.61,16.83,5.63,0,1.49,0,5.33,33.93,0,0,0,0,0,0.69,4.57,2.5,8.65,1,32.08
120,0,0,0,32.84,48.61,0,33.26,0,1.92,0,112.88,11.01,0,21.01,4.71,10.41,0,11.73,0,69.9,0,13.19,20.03,61.52,2.26,0,1.12,0,12.66,14.1,0,0,0,3.28,0,3.29,0,10.13,3.77,7.28,3.64
