stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
 14-21,1.9,0.96,0.95,0,0,0.91,1.08,0,0,9.35,14.33,1.09,0,0.95,0,4.44,0,3.86,14.92,0
 24-34,0,0,0,1.12,0,1.82,0,0,0,6.99,21.7,0,0,0,0,0,0,0,11.74,0
 36-46,0,0,0,1.23,0,2.12,0,0,0,0,27.4,0,0,0,0,0,0,0,3.18,0
 48-58,0,3.38,0,0.64,0,0,0,0,0,0,6.56,0,0.86,0,0.42,0,0,0,0,0
 60-70,0,0,0,10.3,8.77,0,0,0,0,0,8.63,0,1.5,0,0,0,0,0,1.08,1.66
 72-82,0,0.53,0,1.55,0,1,0,0,0.65,1.35,9.98,0,0.74,0,0,0,0,0,2.87,0
 84-94,0,1.5,0,1.52,0,1.11,0.68,0,0,0.55,0,0,1.35,0,1.24,0,0,0,0,0
 96-106,0,0,0,6.48,0,0,0,0.81,0,2.35,12.24,0,4.13,0.79,0.97,0,0,0,0,0
108-118,0,0,0.54,11.19,0,1.09,0,0,0,0,7.67,0,3.91,1.9,0,0,0.76,0,1.43,0
120,0,0,0,2.6,0,7.48,0,0,0,0,31.21,0,108.07,0,0,0,0,0,0,0
