stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle
  3-4,37.03,59.3,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0
  5-6,8.83,61.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,13.43,0,0,0,0,0,0,82.08,0,0,11.24,0,0,0,0
 10-12,0,0,0,0,4.96,0,0,0,0,0,0,27.89,0,0,6.51,0,0,0,0
 14-21,0,0,1.21,0.86,0,0,0,0,0,1.27,0,11.98,0,0,0,0,2.6,1.8,0
 24-34,0,0,0,0,2.45,1.07,0,0,0,1.04,0,14.64,0,0,0,0,0,0.72,0
 36-46,0,0,0,0,13.67,0.87,0,0,0,1.39,0.93,30.61,0,0,0,0,0,6.79,0
 48-58,0,0,0,0,10.97,1.48,0,0,0,0.41,0,16.2,0,0,0,0,0,0.94,0
 60-70,0,0,0,0.57,24.35,0,0,0,0,1.32,0,12.01,0,0,0,0,0,1.82,0.84
 72-82,0,0,0,0,9.87,2.01,1.38,1.02,0,0,0,3.35,0.97,0,0,0,0,6.92,0
 84-94,0,0,0,0,8.33,1.92,0,0,0,4.56,0,1.81,1.13,0,0,0,0,0,0
 96-106,0,0,0,0,3.32,1.04,0,0,1.18,0.6,0,7.57,0,0.93,0,0,0,0,1.21
108-118,0,0,0,10.05,8.63,0,0,0,0,4.22,0.52,6.07,2.2,0,0,0,0,0.95,0
120,0,0,0,1.7,42.75,3.07,0,0,0,0,0,29.16,0,0,0,0,0,0,0
