stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,18.89,185.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.18,167.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.78,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,0,0,0,25.25,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,0,0.83,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,3.43,1.16,0,0,0.95,231.86,0,0,0,0,0,0,1.13,0,137.82,0,0,0,0,0
 24-34,0,0,0,1.11,5.51,0,0,13.3,0,2.23,0,0,0,0,0,0,0,0,0,0,8.9,0,0,2.11,2511.23,0,4.26,17.15,0,0,13.13,0,0,367.95,0,0,8.74,0,2.24
 36-46,0,0,0,0,9.95,0,0,73.89,0.59,0,3.98,11.69,0,0.57,0,0,0,0,0,7.87,21.8,0,2.04,2.81,8341.6,2.62,5.38,5.18,0,0,16.23,0,0.85,861.53,0,0,5.55,0,7.14
 48-58,0,0,0,0,17.22,0.48,0,520.93,12,1.95,3.7,82.09,0,7.93,0.41,0.38,3.78,2.17,1.49,0,36.24,3.93,0.38,13.55,11192.53,1.2,2.65,11.28,0,0,11.5,0,0,1000.31,0,0.81,4.59,0,27.36
 60-70,0,0,0,0,14.89,4.68,0,1202.17,0,0.83,0,49.31,5.53,0,8.85,2.84,9.62,0,0,0.72,26.03,1.14,10.5,2.1,8594.41,5.95,0.75,15.54,0,0,13.13,0,0,638.2,0,0,5.55,1.46,29.63
 72-82,0,0,0.54,0.75,23.99,6.18,0,963.6,0,13.92,3.59,43.05,0,0,6.74,0,3.36,4.97,0,0,51.69,0,1.75,1.23,6270.8,0,0.55,42.07,0,0,9.22,0,0,230.36,4.19,0,0.99,3.58,8.52
 84-94,0,0,1.15,0,45.37,1.91,0,656.06,0,4.16,2.62,49.42,2.23,1.8,0,0.75,1.29,0,2.93,0,53.78,0,1.38,3.31,4333.65,0,3.16,45.11,0,0,7.61,0,0.64,233.22,5.02,4.91,2.29,0,2.89
 96-106,0,0,0,0,29.98,17.17,0,446.76,2.14,0,0,48.56,0,1.02,0.95,0,0.75,8.87,20.82,0,31.94,3.47,4.05,3.22,3193.54,0,1.57,62.09,0,1.01,16.66,0.79,0,98.12,0.83,0.88,5.19,0,16.18
108-118,0,0,0,0,19.12,6.12,1.13,318.19,0,4.77,1,20.04,0,1.44,3.64,0,0,1.25,0.81,0,23.62,5.13,0,4.16,2990.19,0,0.51,51.17,0,0,0.62,0,0,62.37,0,0,1.57,2.11,0.49
120,0,0,0,0,21.37,0,0,362.81,18.76,1.5,12.64,34,0,2.09,0,0,0,0,3.92,0,37.92,0,0,4.75,3740.06,1.38,0,108.57,0,0,0,0,0,39.79,2.39,0,1.25,0,0
