stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,93.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.84,182.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.12,0,0,0,0,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.92,4.61,0,0,54.35,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.78,0,0,30.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.83,5.2,0,0,14.26,0,4.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.11,7.09,3.26,0,0,0,0,0,0,0,0,0,0,2.9,0,0,3.11,59.62,0.93,0,0,0.99,0,4.81,4.81,1.77,1.25,10.59,0,0,0,0,0
 24-34,0,0,1.26,0,1.87,0,7.6,0,0,1.79,0,0,0,1.17,0,0,0,5.51,0,0,3.62,99.59,2.33,0,1.83,0,0,0,0,0,1.03,15.67,0,0,2.82,0,0
 36-46,0,0,0,0,2.86,0,16.36,0,0.61,6.5,0,0,0,0,0,0,0,10.47,0,0,1.72,132.12,0.97,0,0,0,0,6.34,0,0,0,27.54,0,0,0,0,0
 48-58,0,0,0,0,0,0,26.43,6.28,0,4.46,0,0.42,0,0,0,0,0.46,9.63,0,0,2.95,147.44,0,0.77,1.06,0,0,0.86,0,0,0,21.79,0,0,0.61,0,1.64
 60-70,0,0,0,0,1.56,0,45.05,0,0.87,6.38,0,0,0,0,0,0,0,10.27,1.1,0.84,0,121.67,0,1.95,0,0,0,2.33,0,0,0,15.67,0,0,0,0,0
 72-82,0,0,0,0,3.52,1.75,54.7,0,8.35,4.27,0,0,0,0,1.23,0,0,13.87,0,0,0,137.36,0,1.11,0.5,0,0,6.26,0,0,0,7.83,0,0,0,0.9,0
 84-94,0,0,1.11,0,2.71,0,27.46,1.04,0,11.98,0,0,1.57,0,0.67,0,0,9.92,0.71,0,2.34,97.39,0,0,0,0,0,15.64,0,0,0,11.88,0,0.58,9.15,0,0
 96-106,0,0,0,0,4.94,0,29.63,0,0,5.1,2.91,0,6.88,0,2.62,0,0,16.2,0,1.19,1.95,83.75,2.83,0,0.62,0,0,2.42,0,0,0,2.05,1.19,0.66,1.54,0,4.01
108-118,0,0,0,0,2.74,0,31.91,0,0,21.57,1.61,0.82,0,0,0,1.23,1.02,12.69,0,0,0.6,84.78,0,3.61,0,0,1.1,3.34,0,0,0,0,0.8,0,1.45,0,0
120,0,0,0,0,16.4,0,34.04,0,0,5.73,0,0,0,0,0,0,0,28.46,0,0,0,94.44,0,0,4.36,0,0,3.83,0,0,0,16.82,5.08,0,3.23,0,0
