stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,20.34,0,0,4.97,0,0,1.08,0,0,0,11.59,0,0.93,0,0,4.1,0,0,4.85,54.69,1.06,5.52,9.2,7.93,0.91,2.78,0.9,1.75,12.46,0,0,0
 24-34,0.96,2.04,28.58,0.69,0,10.35,2.1,0,1.08,0,0,0,1.99,0,0.68,0,0,9.54,0.7,0,1.97,122.74,7.44,10.8,5.39,54.01,0,0,1.35,2.6,27.05,0,4.24,0
 36-46,0,0.96,7.65,0,0,16.86,0,2.16,3.49,0,0,0,0,0,1.37,0,0,11.97,2.33,0,2.27,132,2.19,28.24,6.5,43.28,0,0,0.75,0,24.32,0,1.98,0.67
 48-58,0,0,1.23,0,0,34.72,0.48,0,8.79,0,0.42,0,1.77,0.51,2.35,2.33,0.79,8.34,1.24,0,1.48,205.58,2.19,6.39,4.33,19.47,0,0,3.74,0,35.24,0,2.63,0.54
 60-70,0,0,5.2,0,0,41.15,0,0,4.13,0,0,0,1.98,0,1.38,0,0,8.03,1.14,0.7,0,201.49,0,16.96,0,3.3,0,0,2.05,0,13.25,0.81,0,0
 72-82,0,0,4.15,8.61,0,48.55,0.74,0,11.96,4.23,0.6,0,2.25,0,3.17,0,0,45.79,2.09,0,0,191.31,0,12.05,4.16,17.39,0,0,0,0,18.41,3.26,2.74,3.06
 84-94,0,0,4.78,2.35,0,36.39,0.63,0,20.85,4.2,0,0.65,2.38,0,0,1.49,0,30.58,1.94,4.09,1.37,127.94,2.46,2.54,7.34,45.88,0,0,0.67,0,32.64,0,0,0
 96-106,2.41,0,13.83,0,0,63.41,0,3.79,13.17,8.29,2.38,1.44,1.68,1.08,1.51,0,0,35.42,5.27,0,0,161.12,4.88,19.31,7.78,93.89,0,0,0,0,5.45,0.72,0,6.28
108-118,4.42,0,16.27,0,3.95,45.93,0,0,34.25,5.66,0,0,0,0,1.8,0,0.8,24.23,0.49,2.4,0.42,192.29,0,13.36,8.19,35.26,0,0,0.75,0,5.15,0,0,0
120,0,0,1.91,3.06,0,69.49,10.7,0,15.58,11.73,0,0,0,0,3.78,0,0,34.72,0,0,1.24,268.42,1.1,3.77,0,21.04,0,0,0,0,0,0,0,0
