stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,9.79,105.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.03,72.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,12.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.04,0,0,9.88,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.52,9.47,0,60.68,0,0,0,5.78,0,0,0,0
 14-21,0,0,59.42,0.94,0,0,0,71.5,0,0,13.8,0,0,0,0,0,0,0,1.53,0,0,1.74,0,0,0,0,5.02,0,18.34,0,0,0,0
 24-34,0,0,20.06,9.25,0,0.72,0,149.58,0,0,0,0,0,0,0,0,0,1.96,0,0,0,10.33,0.62,0,0,0.71,0,0,1.13,0,0,0,0
 36-46,0,0,2.59,0,0,0,0,39.11,0,0,0,2.27,0,0,0,0,0,15.61,0,0,2,6.32,0,0,0,0,0,0,0,0.93,0,0,0
 48-58,0,0,18.75,0,0,1.36,0,28.41,0.41,2.22,0,0,0,0,0.77,0,0,38.34,0,0,0,0.38,0,0.52,0,0,0,0,0,1.66,0,0,0
 60-70,0,0,7.13,0,0,7.51,0,13.11,0,0,0,2.51,0,0,0.84,0,0,60.69,0,0,0,1.09,0,1.67,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,27.8,0,7.94,0,2.36,0,0.49,0,0,0,0,0,147.57,0,0,2.65,8.9,0,4.45,0,0,0,0,0,0,0,1.38,0
 84-94,0,0,2.28,0,0,19.29,0,0,1.47,2.16,0,0.76,1.81,0,0,0,0,159.06,0,0.72,8.1,4.18,0,12.45,0,0,0,0,0,0,0,0,2.16
 96-106,0,0,0.73,0,0,23.82,0.67,7.3,0,0.78,0,4.87,0.58,0,1.08,1.27,7.05,169.04,0,0,10.5,18.5,0,11.84,0,0.87,0,0.57,0,7.72,0,0,0
108-118,0,0,1.78,0,1.21,45.66,0,2.29,2.57,1.25,0,2.53,0.74,0.55,0.55,0,0,115.08,0,1.65,10.64,24.19,0,23.1,0,0,0,0,0,0,3.21,0.87,0
120,0,0,2.76,0,0,13.91,0,1.55,0,0,0,0,0,0,0,0,0,207.43,0,0,16.29,37.77,0,6.19,0,0,0,0,0,0,0,0,0
