stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  5-6,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.25,0,0,6.39,0,0,0,0,0,0
 10-12,0,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0,0
 14-21,0,0,6.66,0,0,0,0,0,0,0,0,0,0,1.72,0,3.39,0,0,0,0,0,2.52,0,0,0
 24-34,0,0,0.67,0.99,0,0,0,0,0,0,0,0,0,0,0.62,16.31,0,0,0,0,1.69,4.51,0,5.33,2.67
 36-46,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,5.54,30.09,0,1.03,0,1.2,16.05,3.38,0,0,0
 48-58,0,0,1.76,9.84,0,0,0,0,0,0,0,0,0,1.24,0,24.42,0,0,0,0,1.64,5.62,0,0.51,0
 60-70,0,0,4.32,19.43,0,0,0,7.47,0,0.76,0,0,0,5.31,0.68,22.84,0,0,0,0,0,5.74,0,0,0
 72-82,0,0,1.68,5.15,0,0,0,11.08,0,0,0,0,0,1.53,0,19.94,2.57,0,0,1.7,0,1.53,0,0,0
 84-94,0,0,3.66,4.56,0,0,0,0,0,0,0,0.83,0,4.56,2.84,1.89,0,0,0,0,0,2.88,0,0,0
 96-106,0,0,0.57,8.79,0,0.91,0,0,0.78,0,0.56,0,0,1.52,1.13,9.73,0,0,0,1.25,0.6,7.25,0,0,0
108-118,0,0,0.75,7.81,0.98,0,0.53,4.66,0.43,0,0,0,2.61,14.21,1.77,18.21,2.06,0,0,0,0.68,1.08,0.66,0,0
120,0,0,7.31,10.1,0,0,0,7.75,0,0,0,1.84,0,9.09,0,62.78,0,0,0,0,1.63,0,0,0,0
