stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,hatching_gland,heart,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord
  3-4,86.15,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,76.61,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.97,0,0,0,0,0,0,0,0,8.88,9.28,0,0
 10-12,0,0,9.61,0,0,6.95,0,0,0,20.95,8.96,0,0
 14-21,0,0,0,0,0,0,0,0,0.88,4.59,0,1.04,0
 24-34,0,0,0,0,0,0,0,0,0,2.67,0,0,0
 36-46,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.64,0,0,0.39,0,1.88,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.49,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.41,0,2.1,0,0,0
 96-106,0,0,0,1.06,0,0,1.33,0,0,2.84,0,0,1.89
