stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,433.05,4224.35,0,0,0,0,0,0,0,0,96.89,0,0,0,0,0
  5-6,572.36,11621.54,83.12,0,0,0,0,1819.65,100.12,959.76,82.9,0,0,0,0,0
  7-9,46.79,937.08,650.36,0,72.32,0,54.8,14210.3,1453.11,26206.53,25.66,37.27,0,51.69,0,0
 10-12,0,431.07,616.39,10.78,20.75,0,14.81,6623.16,237.12,10474.35,0,10.56,0,980.96,5.74,19.63
 14-21,0,0,0,0.96,0,1.61,0,4.12,5.51,24.69,0,0,5.33,0,0.93,7.14
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,2.76
 36-46,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0.99
 48-58,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,3.45
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21
 72-82,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,1.03
 84-94,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,1.45
 96-106,0,0,0,0,4.45,0,0,2.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0
