stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,immune,mesenchyme,neural,periderm,spinal_cord
  5-6,0,8.07,0,0,0,0,0,0,0,0,0,0
  7-9,4.13,0,0,0,0,0,4.27,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,17.69,0,0
 24-34,0,0,0,0,0,0,0,0.61,0,5.78,0,2.44
 36-46,0,0,0,0,0,0,0,0,0,5.37,1.04,2.5
 48-58,0,0,0,3.77,0,0,0,0,0.92,6.16,0,0
 60-70,0,0,0,0,0,0,0,0,1.06,9.88,0,0
 72-82,0,0,0,6.17,0,0,0,0.83,0,8.14,0,0
 84-94,0,0,0,18.43,0,0,0,0,0,9.41,0,0
 96-106,0,0,0,0,0,1.22,0,0,0,3.42,0,0
108-118,0,0,0,0,0.78,0,0,0.93,3.34,0,4.84,0
120,0,0,3.71,0,0,0,0,0,0,4.33,0,0
