stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.18,10.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.06,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,6.56,0,0,13.67,0,3.18,19.08,0,0,28.5,0,0,0,0,0,0
 24-34,0,0,25.94,0,0,3,0,0,0,0,0,0,0,0,0.7,0,0,1.64,3.62,2.34,0,3.16,106.44,7.8,0,0,0,0,517.94,0,0,0,10.93,6.51,0,0,2.37,0,0
 36-46,0,0,22.73,0,0,8.14,0,38.5,0,0,0,0,0,0,0,0,0,2.29,8.46,9.24,0,1.58,87.27,1.27,2.88,0,0,2.85,4203.19,0,0,5.4,0,4.66,0,0,0,0,0
 48-58,0,0,21.16,6.54,0,110.8,7.91,82.13,2.15,30.51,2.12,0.58,0.7,11.45,0,0.38,6.39,0,37.13,42.51,2.63,7.6,439.16,5.04,1.23,1.63,0,0,9747.53,0,9.19,0,0,69.09,0,0,2.29,0,18.95
 60-70,0,0,44.79,0,0,126.95,0,47.03,0,24.56,0,0,0,38.71,0.63,0,4.62,0,18.24,22.54,0.99,3.3,207.57,0,4,0,0.81,0,6861.81,0,0.62,0,0,28.95,0,0,2.26,0,30.18
 72-82,0,0,58.99,0,0,25.94,0,21.71,0.71,3.19,0,0,0,20.41,1.78,0,0,0,11.11,11.36,0,0,51.98,4.45,0,0,0,0,1515.65,0,0.9,0,0,2.42,2.33,1.68,0.64,0,22.97
 84-94,0,0,365.59,3.26,0,40.15,0,35.23,2.08,3.83,1.75,0,0,125.63,3.41,1.7,0,1.35,11.63,17.27,0,0,37.26,0,0,0.76,0,0,4474.18,0,0.59,0,0,0,0,5.43,0,0,0
 96-106,0,0,500.6,1.47,0,74.43,0,6.78,0,9.6,0.74,0,0,81.39,0,0,0,0,15.89,14.82,3.4,0.76,37.26,0,0,0.92,0,0,1265.29,0,0,0,0,5.46,0,5.49,0,0.8,2.94
108-118,0,0,515.51,3.68,0.46,4.84,0,17.72,0,3.49,0.52,0,0,155.62,0,0,0,0,27.84,24.84,0,0.65,31.88,0,0,6.85,0,0,1381.6,0,0,0.46,0,0,0,1.28,2.96,0,0
120,0,0,125.78,0,0,10.97,0,2.19,0,0,0,0,0,31.67,0,0,0,0,13.52,0,0,0,29.73,0,0,0,0,0,202.77,0,0,0,0,0,0,0,0,0,0
