stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,xanthophores
  5-6,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.19,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0
 24-34,0,0,0.65,0,0,0,0,0,0,0,0.86,0,2.38,11.13,0,2.48,0,0,0,0
 36-46,0,0,0.57,0,0,0,0,0,3.34,0,1.15,0,0,10.9,0,0,0,0,0.92,0
 48-58,0,1.86,14.74,0,0,0,0,0,0,0,3,0,0,4.48,0.44,1.56,0,0,0,0.56
 60-70,0,0,95.39,0,0,0.73,0,0,0.57,0,3.35,0,0,13.54,0,1.5,0,0,0,0
 72-82,0,5.58,155.23,1.16,0,3.06,0,0,0,0,4.71,1.08,0,19.11,2.98,6.16,1.67,5.32,0,0
 84-94,0,0,110.84,0,0,0,3.57,2.32,1.2,0,14.58,0,2.58,14.03,0,10.86,0,0,0,0
 96-106,0,0,124.06,0,0,2.61,0.64,0,0,0,7.13,0,0.95,19.51,0,19.84,0,0,0,0
108-118,0,0,129.85,0,0.48,0,0,0,1,0,5.79,0,3.77,19.37,0,14.09,0,0,1,0
120,0,0,87.89,0,0,0,3.35,0,0,4.74,3.96,0,0,21.26,0,28.3,0,0,0,0
