stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.29,1049.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,241.3,2248.97,0,0,0,0,0,0,0,0,0,27.09,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,9.32,0,6.97,0,0,0,0,0,0,0,0,0,0
  7-9,36,477.03,26.69,0,0,332.44,0,0,0,0,0,168.37,0,0,0,0,0,0,0,0,0,0,0,9470.54,102.53,0,0,2652.5,0,5.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,213.97,69.41,0,26.23,210.85,0,0,0,0,0,9.53,0,0,0,0,0,14.93,0,0,0,0,0,8912.34,44.99,0,0,872.24,0,0,0,215.53,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,867.47,29.42,1.7,0,0,0,10.29,0,0,13.5,0,7.26,0,7.61,0,0.86,343.44,1.76,0,177.24,271.95,1.13,0,109.94,0,0,1.7,9.18,2.32,0,11.55,44.57,0,0,2.06,0,0
 24-34,0,0,0,77.34,0,57.91,0,0.92,0,12.67,0,0,0.85,0,0,0.77,55.15,0,16.42,256.84,0,0,111.58,436.8,0,1.25,6.69,0,0,6.24,0,0,2.65,3.35,77.45,0,0,116.77,0,2.67
 36-46,0,0,0,17.8,0,237.23,6.31,0.64,0,26.29,0,0,0,0,7.87,0,33.63,0,5.96,135.32,0,0,36.36,207.25,0,0.68,8.33,0,5.81,1.07,1.05,0,25.28,0,50.95,0,0,234.06,0.78,13.77
 48-58,0,0,0,30.43,0,140.48,0,1.55,1.01,20.12,0,0,0.51,0,0,5.08,36.67,0,2.02,215.64,2.73,1.9,44.12,152.52,0,0,5.61,0,0,0,0,1.05,7.08,0,14.15,0,0.42,64.79,0,9.9
 60-70,0,0,0,28.17,0,68.28,3.13,0,5.33,26.93,0,0,2.86,2.88,0,9.62,16.64,0,0.59,319.05,1.28,14.72,66.24,121.3,0,0,9.11,0,18.13,0,0,3.42,2.53,0,5.72,1.46,7,16.95,2.59,9.63
 72-82,0,0,0,18.71,0,47.14,0,1.86,4.52,23.57,1.68,0,6.69,7.95,2.26,5.65,21.16,0,0,503.11,0.82,22.23,60.74,38.73,0,0,0.68,0,58.19,0,0,0.49,0,0,5.79,1.78,28.96,16.24,5.2,4.21
 84-94,0,0,0,48.11,0,32.72,0,0,2.76,30.17,0,0,10.46,9.95,4.37,0.76,16.71,0,0,388.06,0,20.65,65.07,43.76,0,0,3.63,0,34.53,1.51,0,1.65,1.58,0,13.05,1.17,20.07,7,6.65,3.41
 96-106,0,0,0,37.24,0,32.63,0,2.29,5.22,22.5,1.08,0,1.9,7.42,1.22,4.1,9.66,6.64,1.36,302.01,0,27.31,55.37,55.36,0,0,0.6,0,99.99,0,0,0,0,0,16.73,1.82,40.89,11.53,13.21,16.7
108-118,0,0,0,66.99,0,20.38,0,7.31,6.79,31.6,3.35,0,7.19,5.23,1.98,0.63,12.75,0,8.14,339.47,0,22.06,35.78,50.93,0,0,1.28,0,100.63,2.07,0,2.51,0.93,0,3.11,0.52,25.48,4.59,6.54,6.55
120,0,0,0,70.16,0,6.58,1.61,2.41,0,3.51,7.71,0,11.34,6.72,1.36,1.01,9.86,0,12.45,360.25,0,87.11,61.14,99.27,0,0,1.1,0,231.06,0,0,0,0,0,0,0,12.74,0,6.94,2.34
