stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,35.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,92.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.04,0,0,0,26.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.24,7.83,0,0,17.53,0,0,4.75,7.7,0,0,0,0,0,0
 14-21,0,0,0,0,1.62,0,0,0,0,0,2.44,0,0,0,3.79,0,0,0,0,0,3.43,83.08,0,0,0,2.68,0,7.26,2.37,0,0,41.52,0,0,0,0
 24-34,0,0,0,0.59,4.16,0,12.53,0,0.61,0,21.26,0,0,1.26,0.94,0,0,6.64,0,0,1.99,386.55,0,5.33,3.37,0,0,9.93,0,0,0.66,135.63,0,0,0,0
 36-46,0,0,0,0,0.67,0,103.38,0,0,0,22.25,0,0,0,2.08,0.65,0,15.89,0,0,0.67,430.34,0,3.19,2.64,0,0,7.23,0,0,0,120.84,0,0,0,0
 48-58,0,0,0,0,0,0.37,180.81,0,0,0,39.21,0,0,6.77,0,0,0.69,33.19,5.44,2.09,3.73,344.15,0,1.57,1.27,0,0,1.71,0,0,0,107.05,0,0,0,0
 60-70,0,0,0,0,2.49,0,142.07,0,0,0,54.86,7.97,0,0,1.78,0,0,33.61,0,1.26,0.72,276.69,0,0.78,0.64,0,2.46,0.77,0,0,0,63.51,0,0,0,0
 72-82,0,0,0,0,1.23,4.24,104.5,0,0,0.51,87.84,1.55,2.5,1.16,2.45,0.57,0,61.11,0,1.76,2.02,233.24,0,1.32,0.76,0,0,1.47,0,0,0,30.18,0,0,0.68,0
 84-94,0,0,0.56,1.01,7.97,0,54.6,0,0,0,51.94,3,0,2.96,1.37,1.13,0,61.17,0,2.68,0.91,194.54,0,5.39,0.65,0,0,1.22,0,0.9,0,45.65,0,1.8,0,0
 96-106,0,0,1.08,0,7.39,2.04,51.87,0.87,0,0,86.53,5.08,0,6.41,5.57,0.95,1.99,39.47,0,1.06,0.84,133.47,2.06,7.58,3.61,0,0,1.62,0,0,0,7.48,0,4.87,3.58,0
108-118,0,0,0,0,11.13,0,53.32,0,0,0,67.45,1.23,0,6.11,2.73,0,3.33,30.78,0,5.02,0.9,224.09,0,1.83,2.66,0,0,1.42,0,0,0,15.91,1.4,1.36,0,0.91
120,0,0,0,0,4.32,5.17,27.7,12.08,2.41,3.26,65.13,8.16,0,7.27,1.28,0,0,11.45,0,0,0,193.8,0,1.26,8.01,0,0,1.47,0,0,0,17.88,2.31,0,0,0
