stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,89.8,971.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0
  5-6,6.56,285.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,42.85,17.88,0,0,15.57,0,0,5.11,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.87,0,0.82,0,0,0,0,0,0,10.05,0,0,0,0,0,0,2.02,1.15,0.9,1.67,1.7,0,0
 24-34,0,0,0,0.74,0.84,0,1.45,0,0,0,2.38,0.68,0,9.02,0.83,0,0.62,0,0,0,0,0,0,0,2.42,0,0
 36-46,0,0,0,0,0.65,0,0,0,0,0,0,0,0,10.03,0,0,1.83,0,0,0,1.02,0,0,0,0.72,0,0
 48-58,0,0,0,0,0,0,5.8,0.46,0,0,0.91,0,1.03,5.8,0,0,0.48,0,0,0,0,0,0,0,1.34,0,0
 60-70,0,0,0,0,0,0,1.69,0,0,0,3.37,0,0,32.05,6.22,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.77,0.6,0,0,0,0.83,0,0,11.11,0,0,0.61,0,0,0,0,0,0,0,2.16,0.53,5.97
 84-94,0,0,1.16,0,0.71,0,0,0,0,0,0.99,0,0,1.88,0,0.83,2.08,0,0,0,0,0,0,0,0.68,0,0
 96-106,0,0,0,0,1.06,3.41,1.61,0.97,0,0,0,0,0,4.63,0,0,1.48,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.95,0,0,0.76,0.42,1.52,0.98,0,0,8.62,0,0.64,0,0,0.92,0,0,0,0,0,0,0.46,0.45
120,0,0,0,0,0,0,1.69,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
