stage,axial,blastomeres,endocrine_pancreas,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,115.45,5519.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.18,0,0,0,0,0,0,0
  5-6,125.05,852.29,0,0,0,0,0,0,0,0,0,0,0,0,0,42.73,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,15.81,0,0,0,0,0,0,0,0,0,0,34.34,0,0,0,3.24,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.79,0,0,0,0,0,0,0,0,0,0,19.4,0,0,0,6.85,0,5.33,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0.82,0.81,0,0,0,0,0,0,0
 24-34,0,0,0,0,6.74,0,0,0,0,0,1.62,0,0,0,0.61,4.12,0.61,3.24,0,0,0,0,1.27,5.23,0,0,0,0
 36-46,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0,9.76,0,1.15,0,0,0,0,0,0,0,0,0.72,0
 48-58,0,0,0,0,22.95,0,0.64,0.57,0,0,0,0,0,1.91,0,5.4,0,1.69,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,16,0,1.67,2.02,0,0,0,10.4,0,4,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0.96
 72-82,0,0,0,1.34,6.47,0,0,0,0,0,0,12.52,0,3.35,0,8.95,0,0.88,0,0,0,0,0,0,2.65,0,0,0
 84-94,0,0,0,0,17.23,0.63,0,0.75,0,1.1,0,27.86,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.19,9.75,9.68,0,0,1.78,0,0,0,47.61,0,5.99,0,3.25,0,0.67,0,0,0,0,0,6.95,0,0,0,0
108-118,0,0,0,0,4.8,0,0,4.65,0,0,0,64.61,0,1.61,0,4.67,0,0,0,0,1.07,0,0,0,1.13,0.67,0,0
120,0,0,0,0,4.36,0,0,1.07,2.51,0,0,82.9,10.24,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,17.42
