stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.98,17.69,0,0,2.81,0,0,0,0.89,0,0,0.81,0,0,0,0,0,0,0,0,0,0.94,690.24,1.32,1.35,0,0,0,0,3.32,0,0,1,356.6,0,0,3.04,0,0
 24-34,0,0.84,0,7.16,1.24,0,27.02,0,0,0,4.62,0,0,0,0,0.81,0,0,0,65.57,12.88,0,0,5.56,1554.86,1.57,18.01,4.61,0,0,3.1,0,3.47,6.66,0,495.27,0,0,2.5,0,1.04
 36-46,0,0,0,2.43,0,0,100.56,0,0,0,6.6,0,0,0,0,0,0,0,0,223.4,8.34,0,0,9.9,1819.25,3.06,11.37,0,0,0,13.79,0,0,0,0,336.18,0,0,5.66,0,4.64
 48-58,0,0,0,4.16,0,0,472.91,4.41,0,0.5,24.92,0,0,0,0,0,0.92,0,0,143.45,18.44,0,0.69,4.59,2225.95,0,9.25,6.73,0,0,1.15,0,0,0,0,173.85,0,0,0,0,4.22
 60-70,0,0,0,5.83,1.29,0,1498.57,0,2.42,0,84.84,0,0,0,8.51,0.58,0,0,1.41,36.63,22.55,0,0,6.86,2937.07,0,8.73,2.63,0,0,8.44,0,0,0,0,223,0,0,0.81,0,13.53
 72-82,0,5.72,0,15.39,9.26,0,2795.4,5.27,0,1.08,161.59,0,0,0,2.3,0,10.13,2,5.41,23.23,50.3,0,2.93,5.41,3748.64,0,6.62,6.16,0,0,3.62,0,0,3.02,0,178.99,5.96,0.78,8.77,0.59,18.03
 84-94,0,1.04,0,32.57,1.94,10.69,1927.78,0,2.59,8.01,144.26,3.41,0,0,0,0,3.08,2.16,0,32.55,44.53,0,4.52,2.64,2654.58,0.62,3.64,9.74,0,0,6.64,0,0,0,0,89.6,0,0.84,3.55,1.34,3.09
 96-106,0,0,0,23.04,15.6,0,1976.37,1.38,0.69,5.18,232.53,0.56,1.06,0,0.86,0,7.37,0,7.85,6.41,48.17,1.22,0,4.05,2648.17,1.25,10.58,10.77,0,3.98,28.34,0,0,0,0,68.41,2.04,0,3.62,2.69,8.76
108-118,0,1.77,0,29.71,5.14,4.57,1964.69,0.47,1.15,3.72,155.25,0,0,2.29,1.61,1.05,1.33,1.77,13.38,1.08,42.44,1.22,5,7.23,4636.24,0,7.17,8.17,0,0,4.68,0,0,0,0,63.27,1.66,0,2.45,2.72,1.42
120,0,0,0,52.4,4.4,0,1392.79,0,0,0,166.16,0,0,0,12.69,0,0,0,1.5,1.64,70.01,1.49,0,5.87,6669.33,0,3.6,13.14,0,0,2.84,0,0,0,0,136.61,0,2.2,0,0,0
