stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0.82,0,19.05,7.94,0.87,0,0,2,1.2,0,0,0,0,1.68,0,0,17.4,2.18,1.34,0,0,0,2.27,0,0,0
 24-34,0,0,0,22.76,1.89,0.87,0,0,2.14,0,0.59,3.87,0,0,8.1,0,3.1,15.8,1.93,10.91,0,0.85,3.72,1.57,0,1.33,0.89
 36-46,0,0,0,5.92,0,0,0,0,0,0,0,0.78,0,0,8.74,0,0,9.36,1.52,15.39,0,0,0,1.63,0,0.58,0
 48-58,0,0,0,8.99,0,1.96,0,0,0.78,0,0,0.89,0.39,0,1.49,0,1.4,11.96,1.36,7.28,0,0,0,1.41,0,0,0
 60-70,0,0,0,10.91,0,3.73,0,0,0,1.57,0,3.82,0,0,3.28,0,0.68,18.86,1.42,9.07,0,0,0,0,0,0,0
 72-82,0,0.91,0,1.22,0,0,0,0,0,0,0,4.64,1.85,0,3.64,0,0,4.38,1.88,16.92,0,0,0,0,0,0,0
 84-94,0.62,0,0,3.81,0,1.05,0,2.06,0.69,0,0.82,4.79,0,0,0.61,0,0,10.43,3.22,23.76,1.69,0,0,0,1.34,2.92,0
 96-106,0,0,0,2.26,3.68,0.88,0,0,0,0,0,1.24,1.34,0,1.27,0,0,10.15,0.71,32.52,0,0,0,0,0,1.88,0
108-118,0,0,0.74,1.07,0,0.53,0,0,1.3,0,0.64,2.13,5.72,1.75,1.39,1.21,0,5.56,2.52,35.78,0,0,0,0,0,2.04,0
120,0,0,0,4.91,0,0,2.58,0,0,0,0,8.78,2.51,0,0,0,0,10.13,0,74.3,1,0,0,0,0,0,0
