stage,axial,epidermis,eye,immune,mesenchyme,neural,periderm,spinal_cord,xanthophores
  7-9,6.22,0,0,0,0,0,0,0,0
 24-34,0,0.76,0,0,1.55,0,0,0,0
 36-46,0,0,0,5.85,0,2.08,0.99,0,0
 48-58,0,0,0.41,0,0.63,0.41,0.41,0,0
 60-70,0,0,0,0,0.95,0,5.73,0,1.29
 72-82,0,2.24,0.57,0,0,0,2.78,1.29,0
 84-94,0,0,0,0,0,0,3.44,0,0
 96-106,0,0,0,0.7,0,0.67,2.56,0,0
108-118,0,1.66,0,0,0,5.86,0,0,0.77
120,0,0,0,0,5.72,1.98,3.25,0,0
