stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,212.71,3332.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.56,0,0,0,0,0,0,0,0,0
  5-6,39.73,841.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.27,11.17,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,0,0,0,16.84,0,0,13.75,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.49,0,9.56,0,18.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.11,0,0,0,39.37,0,0,0,0,3.78,7.22,0,0,0,0,0
 14-21,0,0,0,0,12.12,87.79,0,0,0,0,0,0,0,0,1.07,0.92,0,0,0,1.86,0,2.57,0,0,3.14,27.5,0,0.89,0.9,1.09,0,3.09,0,7.62,0.94,10.9,3.15,0,0,0,0
 24-34,0,0,0,1.99,4.15,29.16,0,1.89,0,0,0,0,1.36,2.87,1.24,8.46,3.62,0.63,0.71,3.59,0.8,0,0.61,0,1.73,105.17,0,5.3,2.13,0,0,3.6,0,0,6.32,0,19.24,0,0,5.75,1.76
 36-46,0,0,0,0,2.91,1.81,0,6.44,0,0,0,30.54,0,0,0.92,18.1,6.93,0,0,1.56,0,0.56,0,0,0,270.05,0,5.93,1.92,0,0,33.44,0,0,1.83,0.69,19.22,0,0,1.61,9.42
 48-58,0,0,0.46,0,4.08,7.62,0,24.83,0,0,0,50.09,0,0,0,17.97,2.64,0,0.85,1.26,0,3.19,0,0.42,1.15,221.92,0,0,0.38,0,0,8.41,0,0,0.42,0,24.92,0,0,0.97,22.75
 60-70,0,0,0,0,21.63,19.91,0,318.44,0.81,10.42,0,130.46,0.85,0,0.6,17.71,0.58,0,1.45,0,0.86,38.83,0.62,0,1.13,501.09,0,2.4,10.74,0,3.29,12.67,0,0,1.53,0,46.53,0,0,4.56,34.6
 72-82,0,0,0,0,10.05,140.87,0,501.49,0,2.73,1.86,110.45,3.56,1.54,0.82,28.3,3.1,0,5.29,0,1.45,43.6,1.76,1.25,4.62,449.21,2.91,0.91,16.39,0,0.71,5,0,0,2.45,0,67.31,1.38,0,11.07,19.79
 84-94,0,0,0,0,27.24,106.66,0,333.45,1.28,5.46,0.83,65.12,21.27,0.6,0.76,30.59,3.02,0,6,2.78,2.48,27.01,3.86,5.4,0,296.55,0,2.5,4.62,0,0,26.68,0,0,3.15,0,90.99,1.78,3.11,7.95,17.59
 96-106,0,0,3.83,0,25.44,281.47,1.12,428.24,0,0,0,41.12,18.64,0,0,44.9,9.08,0,3.19,4.18,0.68,31.8,7.28,0,0,341.54,0,5.07,7.15,0,5.18,40.67,0,0,2.58,0,15.49,0.62,0,8.11,5.9
108-118,0,0,0.85,0,33.27,108.44,2.23,274.57,1.28,0.45,0.53,68.56,10.27,0,0,43.21,6.92,6.4,2.9,4.09,0.48,20.51,10.36,11.11,0,397.71,0,0.49,17.31,0,0.86,25.09,0,0,1.5,0,17.87,2.79,0,3.53,8.59
120,0,0,0,4.41,25.6,100.23,0,271.59,0,0,3.67,69.93,22.24,0,4.46,42.18,10.68,0,0,0,0,48.16,5.14,0,0,432.58,0,1.09,6.3,0,0,12.85,0,0,0,0,0,6.52,0,9.91,0
