stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,23.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,23.52,0,0,12.61,0,0,6.52,0,0,0,0,0,0,0
 14-21,0,0,10.76,20.2,6.09,0,0,0,0,0,36.75,0,0,0,0.99,0,2.56,2.88,0,0,0,0,0,1.37,1.4,0,0.87,2.85,0,0,0,0
 24-34,0,0,0,3.29,14.45,0,0,0,0,0,26.41,0,0,0,0.86,0,0,17.35,0,0,0,0,0,0,5.5,0,0.72,1.03,0,1.98,0,0
 36-46,0,0,0,0,15.36,0,0,0,0,0,24.84,0.56,0,0,7.22,0.78,0,0.69,0,0,0,0,0,0,3.17,0,0,5.16,0,1.26,0,0
 48-58,0,0,0.39,0,8.34,0,0,0.6,0,0,20.59,0,0,0,2.95,0,0,2.33,0,0,0,0,0,0,0.58,0,0,1.35,0.91,1.27,0,0
 60-70,0,0,0.68,0,270.34,0,1.64,0,0,0,20.51,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0
 72-82,0,0,4.84,1.36,847.22,0,0,5.33,0,0.5,34.63,0,0.68,2.16,8.91,0,0.75,36.11,0,7.84,0,0,0,0,0,0,0,1.01,0,1.85,0,0
 84-94,0,0,1.49,0,771.39,0,3.34,8.71,0,0,47.47,0,0,3.29,11.16,0,0,23.28,0,0,0,0,7.95,0,0,0,0,0,0,2.23,0.89,0
 96-106,0,0,0.72,0,1231.41,0,0,4.47,0,0,96.32,0,1.57,0,21.93,0,2.02,35.76,0,0,0,0,3.24,0,0,0.6,0,6.07,0,4.52,0,1.22
108-118,0,1.05,5.61,0.84,1085.44,6.63,1.53,6.38,0.45,0,87.07,0,0,0.68,21.2,2.11,0,44.85,0.54,7.03,5.59,0,0,0,0,0,0,0,0.71,8.84,0.73,0.51
120,0,0,5.74,9.71,765.1,0,0,7.89,0,0,86.92,0,0,0,15.62,0,0,55.07,0,2.65,0,0,1.19,0,0,0,0,0,0,4.59,0,0
