stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,71.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.76,68.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.52,0,0,0,35.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.87,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0,95.81,0,0,0,27.68,0,0,0,0,28.94,0,0,0,0,0
 14-21,0,0,0,1.1,1.05,1.85,0,0,0,0,0,0,0,0,0,0,0,6.28,0,0,10.82,61.67,1.84,0.84,0,2.97,0,0,1.49,6.79,0,4.69,97.45,0,0,0
 24-34,0,0,1.51,5.32,0.85,0.62,1.92,0.78,0,0,0,0,0,0,0,0,0,15.04,0,0.69,7.49,352.84,0.64,1.63,0.67,0,0,2.13,0,0,0,1.25,597.67,0,0,0
 36-46,0,0,0,0,5.25,0,25.78,0,0,1.81,0.66,0,0,0,0,0,1.65,14.02,0,2.26,3.82,471.92,0,2.36,0,0,0,1.47,0,0,0,0,697.41,0,0,0
 48-58,0,0,0,0,0,0,31.94,0,0.84,3.6,0,0,0,0,3.13,0,0,21.59,0,0,3.88,333.17,0,0,0.51,0,0,0,0,0,0,0,546.19,0,0,1.42
 60-70,0,0,0,0,0,0,37.79,0,1.2,4.38,0.63,0,0,0,0,0,1.41,5.45,0,0,0,223.04,0,0,0,0,0,3.5,0,0,0,0,174.04,1.62,0,0
 72-82,0,0,0,0,1.62,0,23.49,0,2.27,3.05,3.66,0,0,0,0,0,0,8.42,0,0,1.22,193.96,0,0,0,0,0,1.32,0,0,0,0,16.32,0,0,0
 84-94,0,0,2.95,0,1.84,0,17.49,0,0,5.66,1.25,0,2.32,1.41,0,0,0,2.93,0,0,1.01,69.34,0,2.22,1.19,0,0,0,0,0,0,0,9.87,0,0,0
 96-106,0,0,0.81,0,1,0,19.71,0,0,5.05,2.25,0,0,2.6,0,0,10.68,7.39,0,0,0,157.95,0,0,0,0,2.5,2.24,0,0,0,0,4.02,0,0,0
108-118,0,0,0,0,1.03,0,28.77,0,0,0.45,8.85,0,0,3.66,0,0,0.75,3.41,0,0,0.86,117.61,0,0,1.75,0,0,0,0,0,0,0,9.93,0.52,0,0
120,0,0,0,0,0,0,27.87,0,0,6.52,11.36,0,0,0,0,8.82,0,0,1.49,0,0,292.55,0,0,11.87,0,0,4.42,0,0,2.89,0,0,0,1.51,2.34
