stage,blastomeres,eye,mesenchyme,neural,spinal_cord
  5-6,21.21,0,0,0,0
 10-12,0,0,0,3.55,0
 24-34,0,0,0,4.23,0
 36-46,0,0,1.29,5.82,0.93
 48-58,0,0.56,0.42,1.02,0
 60-70,0,0,5.98,1.75,0
 72-82,0,0.91,0,3.08,0
 84-94,0,0.84,0,0,0
 96-106,0,0,2.34,0,0
108-118,0,0,0,3.18,0
