stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,0,5.24,0,0,13.25,0,0,0,0
 14-21,0,0,0,1.89,0,0,0,0,0,0,0,7.46,14.03,1.33,0,0,0,0,0,0.85,0.89,9.36,0,0
 24-34,0,0,0,0,0,0,0,0.9,0,1.55,0,0.71,63.79,0,4.64,0,0,0,0,0,0,26.79,0,0
 36-46,0,1.36,0,2.98,0,0,0,0,0,0,0,0,228.96,0,2.73,0,0,0,0,0,0,61.61,0,0
 48-58,0,1.53,0,19.04,0,1.9,0,0,0,0.58,0,1.25,247.18,0,0,0,0,0,0,0.4,0,54.61,1.51,6.12
 60-70,0,0.72,0,51.46,0,5.35,0,0,0,2.3,0,0,360.85,0,0,0,0,0,0,0,0,49.04,0,0
 72-82,0,2.18,0,75.96,0,2.06,0.56,0,0,12.15,6,0,403.44,0,2.48,0,0,0.71,0,0,0,45.87,0,0
 84-94,0,0.56,0,53.93,0,2.29,0,0,0.69,9.46,1.31,0,226.46,0,0,0,0,0,0,0,0,38,0,0
 96-106,0,2.89,2.79,82.54,0,11.29,0,0,0,11.72,0,1.24,150.39,0,0,0.65,0,0,3.18,0,0,14.11,0,0
108-118,0,0,0,59.22,0.64,4.68,0,0,0,2.59,0,2.17,282.14,0,0,0,0,0,0.61,0,0,2.65,0,0
120,0,0,0,52.14,10.19,6.82,0,0,0,10.7,0,4.06,275.52,0,0,0,0,0,0,0,0,8.98,0,0
