stage,blastomeres,eye,immune,iridophores,liver,mesenchyme,muscle,neural,periderm,pronephros,spinal_cord,taste
  3-4,23.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,14.14,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.05,0,4.5,0,0
 36-46,0,0,0,0,4.02,0,0,0,0,1.38,0,0
 48-58,0,0,0,0,1.92,0,0,0,0,1.49,1.32,0
 60-70,0,0,0,0,4.47,2.58,0,1.87,0,3.57,1.69,0
 72-82,0,0,0,0,7.97,0.58,0,1.38,0,9.06,1.62,0
 84-94,0,0,0,0.62,19.7,0,0,4.67,0,14.88,0,0
 96-106,0,13.63,0,0,30.27,1.96,0.63,10.28,1.8,7.24,0,1.01
108-118,0,2.03,0.51,0.42,35.84,3.24,0,3.78,0,15.9,0,0
120,0,7.42,0,0,20.52,1.15,0,1.42,0,11.16,0,0
