stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,50.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0
  7-9,5.92,0,0,0,0,0,17.71,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,23.91,6.91,0,0,14.3,0,0,0,0,0,0,0,0,0
 10-12,0,7.52,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,87.46,12.99,0,0,11.96,0,0,7.06,0,0,0,0,0,0
 14-21,0,0,0,1.05,20.33,0.92,0,0,0,7.08,0.92,0,0,0,0.8,0,0,0,0,5.07,0,0.84,34.29,1.61,1.55,6.62,6.72,1.81,5.07,46.45,0,3.31,21.95,0,0,0
 24-34,0,0,0.84,0,2.96,0,3.79,0,0,6.56,0.73,0,0,0,0,0,0.63,0,0,8.96,0,3.84,57.24,0,17.43,5.58,0,0.75,0,36.57,0,0.73,14.26,0,0,0
 36-46,0,0,0.85,0,0,0,9.51,0,0,1.13,0,0,0.9,0,1.48,0,0.67,0,0,3.29,0,0,106.52,0,20.9,2.89,0,1.03,0,12.43,1.67,0,26.77,0,1.61,0
 48-58,0,0,0,0,0,0,18.87,0.85,4.63,7.17,2.14,0,0,0,0,0,0.4,0,0,6.54,3.05,1.72,105.68,5.29,14.73,17.83,0,12.74,0,3.15,0.46,0,10.6,0,1.18,0
 60-70,0,0,1.23,0,7.82,0,34.2,0,0,11.89,0.62,6.65,0,0,0,0,3.06,0,0,6.43,0,0,87.16,6.77,22.06,13.13,0,2.65,0,9.53,0,0,8.22,0,1.73,0
 72-82,0,0,1.14,0,0,0,22.65,0,0,6.29,1.96,0,2.05,0,0,0,15.05,0.79,0,11.31,0,0,65.36,0,31.98,28.95,0,0,0,3.57,0,0,5.79,0,1.76,0
 84-94,0,0,0,1.01,2.63,0,30.7,0,0,0,1.4,0,0,0.65,2.74,0.76,10.03,0,0,10.3,2.67,0,36.11,0,20.51,30.71,0,0,0,2.72,0,0,6.95,1.03,0,0
 96-106,0,0,0,0,1.17,1,50.93,0.9,0,8.14,4.86,0,0,0,0,0,19.35,0,0,3.09,0,0,43.52,0,39.98,34.15,0,0,0,0,0,0,0,0,0.59,2.6
108-118,0,0,0,0,3.37,1.96,11.6,0,0,3.65,0,0,1.62,0,1.01,0,8.27,0,0.76,5.02,0,0.76,40.86,0,29.66,38.2,0,0,0,6.13,0,0,1.73,0,0,0
120,0,0,3.73,0,1.16,5.28,80.02,0,0,2.35,2.59,0,0,0,0,0,6.23,0,0,19.01,0,1.23,96.15,0,29.64,66.72,0,1.27,0,4.05,0,0,1.57,0,0,0
