stage,eye,periderm,taste
 24-34,0,2.95,0
 36-46,0,5.34,0
 48-58,0,2.45,0
 72-82,0.98,4.4,0
 84-94,0,4,0
 96-106,0,2.98,2.03
108-118,0,2.05,0
