stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,lateral_line,mesenchyme,neural,notochord,periderm,pronephros,spinal_cord
  3-4,9.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.44,0,0,0,0
 14-21,0,0.95,0,0,0,0,0,1.13,0,0,0,0,0
 24-34,0,0,0.99,0,0.61,0,0,0.64,4.75,0,0.6,0,0
 36-46,0,0,0,0,0,0,0,0.74,11.23,0,0,0,0.92
 48-58,0,0,0,1.28,0,0,0,0,0.72,4.28,0,0,0
 60-70,0,0,0,11.17,0,0,0,0,0.85,0,0.97,0,1.2
 72-82,0,0,0,0,2.11,0,0,0,8.87,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.69,0,0.65,0,0
108-118,0,1.03,0.94,8.23,0,0.95,0.84,0,3.35,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.94,0
