stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,mesenchyme,muscle,neural,taste
 14-21,0,0,0,0,0,0,0,0,0,0,1.28,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.51,0
 36-46,0,0,0,3.06,0,0,0,0,0,0,0.63,0
 48-58,0,0,0,40.25,0,2.8,0,0,0,0,0.67,0
 60-70,0,0,0,147.55,0,0,0,0,0.81,0,0,0
 72-82,0,0.53,0,93.87,0,0,0,0,0,0,0,0
 84-94,0,0,0,62.98,0,0,0,4.47,0,0,0,0
 96-106,0,0,7.63,37.3,0,0,0.73,21.27,9.82,0.9,0,37.47
108-118,1.03,1.01,0,57.25,0,0,0,0.6,0,0,6.62,0
120,0,0,0,33.54,3.55,0,0,1.41,0,0,0,0
