stage,eye,fast_muscle,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites
  7-9,0,0,0,0,0,5.95,0,0,0
 10-12,0,0,0,0,0,6.16,0,0,0
 14-21,0,0,0,0,9.33,2.79,22.8,0,1.77
 24-34,0.63,0,0.74,1.62,2.77,0,0,0,3.73
 36-46,0.6,4.31,0.58,0,0,0,0,0.7,0
 48-58,1.32,1.85,0.89,7.16,1.27,0,0,0,0
 60-70,4.46,0,0,0,0,0,0,0,0
 72-82,0,1.7,3.38,1.35,0,0,0,0,0
 84-94,0,0,0,1.75,0,0,0,0,0
 96-106,0,0,0,5.72,4.33,0,0,0,0
108-118,0,8.24,0,1.2,0,0,0,1.47,0
