stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,566.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7,0,0,0,0,0,0,0
  5-6,23.85,216.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.71,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,16.85,0,0,9.26,0,0,12.73,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,5.1,0.97,0,0,0,0
 24-34,0,0,0.66,0.68,0,0,0,0,0,0,0,0,0,0,0.93,0,2.12,63.14,0,8.25,0,0,0,0,0,8.45,0,0,0,0
 36-46,0,0,1.03,0.81,0,2.97,1.06,0.64,0,0,0,0.86,0,0,13.51,0,8,64.64,0.84,0,0,0,0,0,0,36.88,0,0,0,0
 48-58,0,0,0,0,0,5.7,0,1.08,3.43,0,0,0,0,1.04,53.13,0,4.51,115.49,0.39,0,0,0,2.54,0,0,18.08,0,0.64,0,0
 60-70,0,0,0.89,0.57,0,7.09,0,0.86,10.43,0,0,0,0,0,91.11,0,2.76,126.65,0,0,0,5.49,0,0,0,16.03,0,1.06,0,5.94
 72-82,0,0,0.61,7.93,0,35.42,0,2.52,16.27,1.7,0,0,0,0,162.89,1.38,10.67,140.94,0,0,0,2.35,3.13,0,0,15.07,4.65,2.34,6.04,0
 84-94,0,0,1.18,3.7,0,32.28,0,1.59,11.97,3.34,1.56,0,0,0,188.11,2.07,3.44,135.37,0,0,0,2.02,6,0,0,2.52,1.75,1.05,8.05,0
 96-106,0,0,0.99,2.27,0,38.25,0,3.09,9.96,1.13,0,1.41,0,1.99,144.68,3.15,2,117.51,0,4.92,0,5.22,19.31,0,0,16.97,4.66,1.93,4.71,0
108-118,0,0,3.49,12.97,0,18.34,0,0.53,3.87,9.39,0,0.66,0.43,1.1,172.93,2.87,2.95,128,0.62,2.14,0,4.11,7.18,0,0,5.86,9.32,3.45,2.09,1.03
120,0,0,0,7.74,0,42.58,0,1.44,76.43,0,0,0,0,0,161.58,0,7.66,195.51,0,69.86,0,9.21,7.87,0,0,3.5,6.72,0,1.99,0
