stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,spinal_cord,vasculature
  3-4,19.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.81,0,0,0,0
 14-21,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,3.59,1.07,0,3.49,0
 24-34,0,4.78,1.18,1.08,0,0,0,0,0,0,0,0,0,0,133.16,1.3,1.99,13.74,0
 36-46,0,0,0,0,1.88,0,1.39,0,0,0,0,0,0,0,371.02,8.76,0,18.47,0
 48-58,0,1.9,0,8.5,9.02,0,2.85,10.46,0,10.22,0,0.51,2.52,4.97,563.98,3.61,1.22,26.79,0
 60-70,0,2.66,0,1.52,32.3,0,0,8.51,2.77,0,0,0,0,3.63,478.02,0.72,8.51,52.93,0
 72-82,0,9.63,0,0,44.75,0,0,12.25,2.67,0,0,1.13,0,0,789.01,0,1.28,48.27,0
 84-94,0,11.69,0,0.66,10.7,0,0,0.56,4.1,0,1.67,1.62,0,0,275.21,0,0,0.94,0
 96-106,0,4.18,0,0,4.91,0,0,0.59,2.12,0,0,0,0,0,283.41,0,0,6.32,0
108-118,0,5.82,0,0,13.23,1.3,0,3.27,0.82,0,0,2.5,0,0,243.83,0,1.95,1.94,0.55
120,0,7.72,0,14.31,4.5,0,0,2.66,0,0,0,8.03,0,0,564.63,0,0,8.59,0
