stage,epidermis,eye,glial,mesenchyme,neural,periderm,taste,vasculature
 36-46,0,0,1.01,0,0,0,0,0
 48-58,0,0,0,0,0,0.43,0,0.66
 72-82,0,0,0,1.75,0.49,0,0,0
 84-94,0.96,0,0,1.26,0,0.67,0,0
 96-106,0,0,0,1.85,0,0.7,1.64,0
108-118,0,2.46,0,0,0,0,3.04,0
120,0,0,0,6.45,0,0,4.31,0
