stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.37,287.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.45,80.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.4,0,4.49,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447.15,241.24,0,0,23.71,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.19,130.81,0,11.83,42.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3954.39,1043.73,0,0,206.34,0,0,0,11.28,0,0,0,0,0,0,0
 14-21,0,0,92.25,137.75,1.64,4.09,0,0,180.79,14.33,1.55,3.18,0,0,0,0,0,0,68.18,0,0,63.14,165.56,310.2,0,0,37.04,0,2.49,3.21,0,12.65,5175.21,0,0,0,0,0
 24-34,0,0,167.14,6.25,0,0.93,0,3.68,152.02,0,0,0,0,0.61,0,0,3.62,0,177.89,0,0,355.95,158.29,12.24,2.01,0,0,0,0,0,1.72,5.94,1684.27,0,0,0.91,0,0
 36-46,0,0,27.36,10.37,0,14.88,0,11.23,42.67,0,0,1.7,0,0,0,0.65,4.15,0,260.5,0,0.72,278.58,238.3,11.03,3.41,0,0,0,3.33,2.92,0.58,0,325.03,0,0,8.73,0,5.32
 48-58,0,0,18.87,4.76,0,76.31,0,5.03,35.38,10.14,0,0,0,0,0,0.45,0,3.19,272.14,0,0.51,159.53,306.48,0.56,0.73,0,0,0,3.42,0,0,0,288.91,0,0,2.3,0,0
 60-70,0,0,5.18,5.18,0,104.22,0,4.24,5.76,20.76,0,0,0,0,0,0,0,0,248.7,0,0,73.29,112.56,0,1.19,0,0,0,2.81,0,0,0,163.11,0,1.84,0,2.15,0
 72-82,0,0,0,5.4,0,100.07,0,19.25,23.23,29.79,0,0,0,0,0.64,0,0,0,308.34,0,1.18,88.73,172.96,0,1.72,2.92,0,10.24,0,0,0,0,186.85,0,1.08,5.88,2.63,0
 84-94,0,0,0,5.34,0,55.72,0.88,15.01,10.52,24.84,0,0.97,0,0,0,0.69,0,0,285.53,0,0.65,65.07,59.11,0,0.95,0,0,4.73,0,0,0,0,120.12,0.62,0,0.57,1.95,0
 96-106,0,0,0,4.27,0,66.42,2.7,17.93,20.5,20.24,0,0,0,0,0.71,0,0,0,265.71,0,0,56.7,131.64,0,1.19,0,0,4.1,0,0,0,0,156.07,0,1.94,0.98,1.89,0
108-118,0,0,0,9.13,0,22.33,0,3.89,28.9,26.63,0,0,0,0,0,0,0,0,251.1,1.15,0,51.33,49.49,0,0,0,0,12.49,0,0,0,0,82.15,0,0,5.06,5.26,0
120,0,0,0,0,0,12.85,0,4.94,0,1.02,0,0,3.81,0,0,0,0,0,216.99,0,0,36.99,48.21,0,0,0,0,28.94,0,0,0,0,68.42,0,0,0,0,0
