stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,neural,olfactory,periderm,presomitic_mesoderm,pronephros
  3-4,24.17,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.86,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.01,0,0,1.23,0
 24-34,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.3,1.06,0,0,0.75
 48-58,0,0,0,0,0,2.9,0,0,0,1.04,0.74,0,0,0
 60-70,0,0,0,0,0,0,2.47,0,0,3.18,0,0,0,0
 72-82,0,0,0,0.7,10.49,0,8.98,4.73,0,26.24,4.61,0,0,0.49
 84-94,0,1.15,1.06,3.7,19.29,1.31,19.68,7.71,0,4.86,2.98,0,0,0.56
 96-106,0,0,0,6.41,12.31,2.29,29.03,10.08,4.45,15.56,4.64,0,0,0
108-118,0,0,0,1.45,7.37,1.07,32.1,18.57,7.6,6.48,4.97,0.64,0,0
120,0,0,0,0,3.23,0,32.89,8.37,3.11,38,3.5,0,0,9.01
