stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0,0,28.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,2.25,173.32,0,0,0,0,0,0,2.74,1.28,4.01,30.28,68.85,0,0,0,0
 24-34,0,3.5,0,13.96,0,12.47,0,53.08,0,0,0,0.63,0,0,0,2.08,0,6.87,4207.97,1.67,1.22,0,0,0,0,0,1.9,1.31,11.61,1176.15,0,11.6,0,0
 36-46,0,3.67,0,33.8,0,1.06,0,171.31,0,0,0,0.59,0,0,10.04,6.33,1.07,0.56,7696.4,2.16,2.7,0.66,0,0,10.22,0,1.06,0,0,2961.88,0,0.56,0,0
 48-58,0,2.19,0.43,110.73,0.66,0.99,0,299.4,0,0.9,0.68,0,0,0,0,4.1,0.4,1.46,4182.06,0,0,0,0,0,4.81,0,1.13,0,0,1785.17,0.85,7.16,0,15.18
 60-70,0,2.88,0,76.19,0,3.13,1.53,166.82,0,1.01,0,0,0,0,0,3.29,0,2.02,1795.5,0,0,0.82,0,0,0.85,0,0,3.56,0,754.84,0,0,0,14.04
 72-82,0,4.98,0,85.41,0.49,0,0,113.76,0,0,0,0,5.83,0,0,9.89,0,1.24,1551.82,0,0,0,0,0,0,0,0,0,0,328.91,0,0,0,0
 84-94,0,4.66,0,62.27,1,0,0,91.73,0,0,0,0,4.06,0,0,14.26,0,5.78,882.65,0,0,0,0,2.02,4.16,0,0,0,0,228.08,0,0,1.36,0
 96-106,0,4.05,0,49.82,2.36,0,0,75.22,0,0,1.8,0,0,0,0,0.91,0,3.49,663.09,0,0,0.59,0,0,1.56,0,0,0,0,100.32,0,0,2.57,6.06
108-118,0,4.12,1.59,41.13,4.79,0,0,71.73,3.33,0,0,0,1.01,0,0,13.3,0,0.95,932.57,0,1.19,0,0,0,0.6,0,0,0,0,79.84,0,0.84,0,0
120,0,18.73,0,88.13,0,0,0,127.7,0,0,0,0,0,1.69,0,10.11,0,4.31,1221.84,2.28,0,3.01,0,0,0,0,0,0,0,42.67,0,2.66,0,0
