stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste
  3-4,755.29,20345.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802.87,0,0,0,0
  5-6,299.52,4462.2,0,0,0,0,0,7.31,0,0,0,0,0,186.91,16.8,0,29.71,72.54,0,0,0,0
  7-9,3.82,8.06,0,0,0,0,0,11.52,0,0,0,0,0,177.94,0,0,41.36,0,48.12,0,0,0
 10-12,0,0,0,0,11.99,0,0,0,0,0,0,0,0,37.74,0,0,11.1,0,3.78,0,0,0
 14-21,0,0,0,0.88,1.38,0,0,0,0,0,0,0,0,45.07,0,0,0,0,0,1.48,3.53,0
 24-34,0,0,0,1.3,0,0,0,0,0,0,0.66,0,0,9.08,0,5.76,0,0,0,0,6.55,0
 36-46,0,0,0,0,1.45,0,0,0,0,0,0,0.65,0.56,15.24,0,2.06,0,1.02,0,0,7.47,0
 48-58,0,0,0,0,0.59,7.8,0,0,0,0,0,0,0.56,12.01,0,3.77,0,0,0,0,5.52,0
 60-70,0,0,0,0,5.78,0,0,0,0,0,0,0,0,10.86,0,0.99,0,0,0,0,7,0
 72-82,0,0,0,0,11.26,1.4,0.93,0,0,0,0,0.52,0,11.29,0,1.74,0,0,0,0,1.6,0
 84-94,0,0,0,0,6.3,0,0.63,0,0,1.06,0,1.02,0,11.78,0,0,0,3.78,0,0,5.89,0
 96-106,0,0,0,0,17.6,0,0,0,0,0,0,0,0,5.91,0,2.99,0,2.65,0,0,0,0
108-118,0,0,0.76,5.59,12.39,0,0,0,0.84,1.07,0.67,1.44,0,8.82,0,1.73,0,0.73,0,0,0.92,0.55
120,0,0,0,0,0,0,0,0,0,0,0,0,0,32.21,0,0,0,0,0,0,6.92,0
