stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.05,107.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0
  5-6,9.85,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0
  7-9,4.16,5.56,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.79,3.67,0,17.71,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.14,0,0,6.67,7.72,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.87,114.12,2.38,0,0,0,0,0,0,0,1.41,3.35,0,0.92,22.38,0,0,0.92,0,0.9,0,0.93,2.96,0,0.84,0,0
 24-34,0,0,0,0.63,849.09,3.11,0,0,2.29,0,0,0,0.77,3.58,2.96,0,12.91,93.34,0,0,0,3.63,0,2.19,2.64,16.26,0,1.26,0,0
 36-46,0,0,0,0.57,449.64,13.38,0,0,8.43,1.84,0,0,0.57,0,4.46,0,5.99,60.47,0,0.59,0,4.18,0,0,0,15.08,0,1.38,0,0
 48-58,0,0,0,0,500.78,18.83,0,0,2.6,0,0,3.71,0,0,5.09,0,0,56.68,0,0,0,1.96,0,0,0,16.75,0,1.49,0,1.82
 60-70,0,0,0,0,315.13,11.58,0,0,11.83,0,1.94,0,0,0,11.46,0,0,45.06,0,1.17,0,5.45,0,0,0,9.54,0,0,0,0
 72-82,0,0,0,3.57,732.96,33.4,0,0,13.31,0,5.65,0,0,0,7.15,7.6,0.51,42.11,0,0,0,1.39,0,0,0,10.81,0,1.71,0,0
 84-94,0,0,0,1.91,807.43,16.06,2.56,0,0,0.97,0,0,0,0,10.51,0,0,31.48,0,0,0,1.16,0,0,0,2.62,0,0.59,1.66,0
 96-106,0,0,0,1.08,1190.38,11.8,2.14,0,4.9,1.9,0,0,2.23,8.17,20.77,0,0.68,43.06,0,0,0,9.57,0,0,0,7.55,0,2.64,0.75,0
108-118,0,0,0,0.89,781.59,14.55,0,0,4.47,1.21,0,0.49,0,0,3.46,0.69,0.8,20.2,0,0,0,1.45,0,0,0,0,0.44,2.14,0,0
120,0,0,0,3.55,810.4,9.53,0,16.69,0,0,0,0,0,0,13.64,0,0,49.51,0,0,0,1.96,0,0,0,0,0,0,0,0
