stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,394.78,7122.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.48,0,0,0,0
  5-6,1344.46,10683.32,43.99,0,0,0,0,104.88,0,0,0,0,1286.35,111.74,0,332.9,27.15,0,0,0,0
  7-9,584.98,618.73,1667.84,0,23.9,278.43,0,521.8,0,0,0,0,9981.8,822.59,0,11874.08,8.69,0,0,0,0
 10-12,0,287.09,329.55,0,7.8,79.83,0,12.43,0,0,0,0,3785,132.8,0,5094.79,0,0,284.37,17.88,15.27
 14-21,0,0,0.96,10.7,5,0,0,0,9.58,0.95,0,6.56,37.79,0,0.95,4.22,0,72.72,0,28.98,9.91
 24-34,0,0,0,0,0,0,0,0,0,0.74,0,0,14.95,0,0,0,0,0,0,0,1.62
 36-46,0,0,0,0,0,0,0,0,0,0.88,0,0,1.94,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.43,0,0,0,0,0,0,1.74,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1,0,0,0.86,0,0,2.64,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,19.08,0,0,0,0,0,0,0,0
