stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,15.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.38,0,0,0,0,0,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.23,0,0,0,0,0,0,5.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.13,1.83,32.27,0,0,33.55,0,0,0,3.6,0.82,0,0,0,0,0,3,0,15.65,0,0,3.66,24.7,0,1.55,0.82,0,0,1.35,0,1.28,23.73,0,7.34,46.09,0,0,0,0,0
 24-34,0,0.84,0,2.6,0,0,162.54,0,2.53,0.79,16.73,0,0,0.76,1.49,0,0,14.6,10.85,16.76,0,0,7.91,249.82,62.83,3.97,1.28,0,0,0,0,0,18.82,0,5.01,78.09,0,0,1.46,0,0
 36-46,0,0.61,0,2.68,0,0,152.06,1.83,0,3.21,106.55,0,0,0,0,11.37,0,2.31,21.41,18.99,0,0.86,6.5,304.68,99.9,8.63,0,0,0,3.18,0,0,37,0,0,172.92,0,0,7.66,0,9.74
 48-58,0,0,0,5.8,0,0,186.61,1.13,0,1.34,140.88,0,0,0,0,19.8,0,2.35,41.92,28.19,0,0,4.82,234.96,48.98,1.61,0.86,0,0,0,0,0,4.51,0,0,245.49,0,0,1.72,0,0
 60-70,0,0,0,6,0,0,197.29,2.25,0,11.98,195.37,0,0,3.33,0,45.92,0,0.68,22.43,105.23,0,0,5.02,135.18,27.06,0.99,0,0,0,1.08,0,0,4.48,0,0,72.18,0,0,0,0,0
 72-82,0,0,0.93,2.13,0.97,0,246.82,5.99,1.27,7.67,213.09,2.63,0,0,0,33.02,0,0,7.5,233.53,0,0,8.87,187.41,18.94,4.78,4.06,0,0.77,0,0,0,15.29,1.5,0,53.53,0,0,1.66,1.82,0.99
 84-94,0,0,0,1.1,0.84,0,440.66,0,0,11.58,239.13,3.68,0,0,0,64.75,0,1.15,54.52,205.54,0,0,7.97,122.74,26.02,5.85,3.11,0,0,3.4,0,0,24.59,0,0,51,0,1.54,1.39,4.34,3.76
 96-106,0,0,1.45,2.45,0,1.14,357.31,0,0.96,4.77,287.15,2.76,0,0,0,64.57,0,3.53,14.73,116.02,0,0,0.89,152.17,22.24,5.91,3.2,0,0,0,0,0,15.14,0,0,49.42,0.99,1.48,1.32,4.19,24.1
108-118,0,1.46,0,13.82,0,4.79,429.25,4.24,5.83,10.66,244.06,0,0,0,6.75,147.48,1.31,7.92,20.2,82.07,1.09,2.11,5.56,146.4,22.43,1.96,4.71,0,0,0.41,0,0,15.48,0,0,26.25,0,0,0.57,1.44,5.77
120,0,0,8.82,2.88,3.03,0,265.22,3.16,1.16,0,283.22,0,0,0,2.03,66.66,0,5.02,5.34,54.59,0,0,2.79,100.48,26.48,1.91,4.27,0,0,0,0,0,43.06,0,0,17.86,0,0,17.97,0,0
