stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,115.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0
  5-6,13.67,90.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0
  7-9,3.68,0,5.02,0,0,4.5,0,0,0,0,0,0,0,0,53.44,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,13.24,0,0,4.82,0,0,0,0,0,41.96,0,0,0,11.36,0,0,7.65,0,0,0
 14-21,0,0,0,0.86,0.83,0.89,1.61,0,0,0,0,0,2.07,0,32.89,4.33,0,1.07,0,0,1.38,0,0.82,16.38,0
 24-34,0,0,0,0,0,6.66,1.42,0,0,0,0.94,0,4.44,1.42,58.9,0,0,0,0,0,0,0,0.71,7.38,1.61
 36-46,0,0,0,2.83,0,18.51,1.55,0,0,0,0,4.53,2.34,1.09,30.8,0,0,0,0,0,0,0,0,4.45,0
 48-58,0,0,0,0,0,25.26,0.91,0,0,0,0,0,3.63,0,21.73,0,0.8,0,0,0,0,0,0,3.23,2.68
 60-70,0,0,0,0,0,10.81,2.19,0,0,0,0,0,0,0,19.74,0,0,0,0,0,0,0,0,0.75,0
 72-82,0,0,0,0,0,32.08,2.86,0,0,0,0,0,4.16,0,27.77,0,0,0,0,0,0,0,0,2.77,0
 84-94,0,0,0,0,0,3.39,0.83,0,0,0,0,0.57,0.78,0,10.24,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,13.68,1.66,0.67,0,0,0,0,0,0,4.21,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.44,10.59,0,0,0,0,0,0,1.15,0,13.82,0,1.43,0,0,0,0,0,0,0,1.81
120,0,0,0,1.34,0,7.62,0,0,0,6.79,0,0,2.68,0,25.86,0,0,0,0,0,0,0,0,0,0
