stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,immune,liver,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,visceral_smooth_muscle
  5-6,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.68,0,9.7,0,0,0
 14-21,0,0,1.15,0,0,0,0,0,0,3.15,0,0,1.69,0,0
 24-34,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,1.44,0,0,0,0,1.13,0,0.85,0,0,0,0,0
 48-58,0,0,1.38,0,0,0,0,0.54,0,0,0,0,0,0,0
 60-70,0,0,14.18,0,0,3.78,0,0.91,0.78,11.31,0,0,0,0,0
 72-82,0,0,32.32,0,0,0,0,2.06,0,1.46,0,0,0,0,0.96
 84-94,0,0,58.2,0,0,0,0,0.56,0,4.48,0,0,0,6.69,0
 96-106,0,0,62.28,0,0,0.77,0,1.97,0,3.02,0,0,0,0,0
108-118,0,0,127.82,0.65,0.79,0,0.99,1.75,0,26.56,0,0,0,0,2.22
120,0,0,51.92,0,0,0,0,0,0,0,1.33,0,0,0,0
