stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,mesenchyme,mural_cell,neural,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,426.72,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0,0
  5-6,139.34,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,21.76,10.77,0,5.15,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,14.5,20.17,4.52,0,0,0,0,0,0,0,0
 14-21,0,1.03,0,0,0,0.83,0,0,0,0,0,3.09,0,1.27,0.87,1.12,0,0
 24-34,0,0,0,0,0.88,0,0.89,6.75,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,4.04,0,0,3.85,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.55,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,1.38
 72-82,0,0,1.91,0,0,2.03,0,1.23,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.6,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.64,1.82,0,0,0,0,0,0,0,0,0.78,0,0,0,0,0
